edge_id,left_basis_id,right_basis_id,source0_boundary_count,source1_boundary_count,boundary_count,left_weak_class_code,right_weak_class_code,edge_lln_var_num,edge_lln_var_den
558,212,224,1,1,2,12,12,36230,328225689
559,212,229,715,0,715,12,12,12442430,328225689
560,213,214,0,3,3,12,12,54342,328225689
561,213,224,0,1,1,12,12,18116,328225689
562,213,234,10,0,10,12,12,181070,328225689
563,213,235,3,0,3,12,12,54342,328225689
564,214,215,0,10,10,12,12,181070,328225689
565,214,236,3,0,3,12,12,54342,328225689
566,214,237,2,0,2,12,12,36230,328225689
567,214,238,1,0,1,12,12,18116,328225689
568,215,225,0,3,3,12,12,54342,328225689
569,215,239,1,0,1,12,5,18116,328225689
570,216,217,0,3,3,12,12,54342,328225689
571,216,241,0,3,3,12,12,54342,328225689
572,216,242,12,0,12,12,12,217260,328225689
573,216,243,2,0,2,12,12,36230,328225689
574,217,226,4,0,4,12,12,72452,328225689
575,217,244,52,0,52,12,12,939380,328225689
576,217,245,0,1,1,12,12,18116,328225689
577,218,219,0,3,3,12,12,54342,328225689
578,218,227,1,0,1,12,12,18116,328225689
579,218,245,0,1,1,12,12,18116,328225689
580,218,246,4,0,4,12,12,72452,328225689
581,219,227,1,0,1,12,12,18116,328225689
582,219,249,0,1,1,12,12,18116,328225689
583,220,228,0,1,1,12,12,18116,328225689
584,220,250,9,0,9,12,12,162972,328225689
585,220,251,1,0,1,12,12,18116,328225689
586,220,252,0,3,3,12,12,54342,328225689
587,221,222,0,2,2,12,12,36230,328225689
588,221,253,0,10,10,12,12,181070,328225689
589,221,254,44,0,44,12,12,795212,328225689
590,221,255,2,0,2,12,12,36230,328225689
591,221,256,22,0,22,12,12,398090,328225689
592,221,257,10,0,10,12,12,181070,328225689
593,221,258,1,0,1,12,2,18116,328225689
594,222,258,21,2,23,12,2,416162,328225689
595,223,224,0,1,1,12,12,18116,328225689
596,223,229,0,1,1,12,12,18116,328225689
597,223,230,12,0,12,12,12,217260,328225689
598,223,231,3,0,3,12,12,54342,328225689
599,223,232,1,0,1,12,12,18116,328225689
600,224,233,2,0,2,12,12,36230,328225689
601,224,234,0,1,1,12,12,18116,328225689
602,225,239,0,1,1,12,5,18116,328225689
603,225,240,4,0,4,12,12,72452,328225689
604,225,241,1,4,5,12,12,90560,328225689
605,226,244,0,1,1,12,12,18116,328225689
606,226,245,4,1,5,12,12,90560,328225689
607,227,246,0,1,1,12,12,18116,328225689
608,227,247,1,0,1,12,12,18116,328225689
609,227,248,1,0,1,12,12,18116,328225689
610,227,249,0,1,1,12,12,18116,328225689
611,228,249,0,2,2,12,12,36230,328225689
612,228,250,1,1,2,12,12,36230,328225689
613,229,230,0,1,1,12,12,18116,328225689
614,230,231,0,1,1,12,12,18116,328225689
615,231,232,0,1,1,12,12,18116,328225689
616,232,233,0,1,1,12,12,18116,328225689
617,233,234,0,1,1,12,12,18116,328225689
618,234,235,0,2,2,12,12,36230,328225689
619,235,236,0,2,2,12,12,36230,328225689
620,236,237,0,2,2,12,12,36230,328225689
621,237,238,0,2,2,12,12,36230,328225689
622,238,239,0,2,2,12,5,36230,328225689
623,239,240,0,1,1,5,12,18116,328225689
624,240,241,0,1,1,12,12,18116,328225689
625,241,242,0,2,2,12,12,36230,328225689
626,242,243,0,2,2,12,12,36230,328225689
627,243,244,0,2,2,12,12,36230,328225689
628,244,245,0,1,1,12,12,18116,328225689
629,245,246,0,2,2,12,12,36230,328225689
630,246,247,0,1,1,12,12,18116,328225689
631,247,248,0,1,1,12,12,18116,328225689
632,248,249,0,1,1,12,12,18116,328225689
633,249,250,0,1,1,12,12,18116,328225689
634,250,251,0,2,2,12,12,36230,328225689
635,251,252,0,2,2,12,12,36230,328225689
636,252,253,0,5,5,12,12,90560,328225689
637,253,254,0,2,2,12,12,36230,328225689
638,254,255,0,2,2,12,12,36230,328225689
639,255,256,0,2,2,12,12,36230,328225689
640,256,257,0,2,2,12,12,36230,328225689
641,257,258,0,2,2,12,2,36230,328225689
