mode_subspace,block,dim_mode_subspace,dim_block_subspace,max_cosine,min_angle_deg,mean_angle_deg,cosines
top_1,full_nonflag,1,14,0.9281498642630772,21.851774873340695,21.851774873340695,0.928150
top_1,quoted_band,1,8,0.900251747773188,25.808821887113133,25.808821887113133,0.900252
top_1,Omega_J+D_J+M_CVX,1,9,0.8964035900935432,26.310710471961865,26.310710471961865,0.896404
top_1,D_J+M_CVX,1,7,0.8875281822765622,27.435735824336298,27.435735824336298,0.887528
top_1,Omega_J+M_CVX,1,5,0.8864988657995446,27.563459646015815,27.563459646015815,0.886499
top_1,Omega_J+D_J,1,6,0.8826344234815617,28.03819622927414,28.03819622927414,0.882634
top_1,Omega_J,1,2,0.8567042900389679,31.051469485227962,31.051469485227962,0.856704
top_1,M_CVX,1,3,0.8510302404077925,31.676098572677088,31.676098572677088,0.851030
top_1,D_J,1,4,0.8360046386449889,33.27940659579941,33.27940659579941,0.836005
top_2,full_nonflag,2,14,0.9663563706610369,14.90439096252443,23.473062043570657,0.966356;0.847662
top_2,Omega_J+D_J+M_CVX,2,9,0.9602851030378662,16.2017625040848,27.785301324725765,0.960285;0.773079
top_2,quoted_band,2,8,0.9493266894603593,18.31801780935208,26.654372794407337,0.949327;0.819245
top_2,Omega_J+D_J,2,6,0.9472290076647744,18.696652543874166,30.18658659102478,0.947229;0.746911
top_2,Omega_J+M_CVX,2,5,0.9361948881358183,20.577947198845887,42.71163662269667,0.936195;0.425063
top_2,Omega_J,2,2,0.9285539167995177,21.789492467570106,53.19382312227262,0.928554;0.094140
top_2,D_J+M_CVX,2,7,0.9131475223772404,24.05599450986222,33.84181937474521,0.913148;0.723839
top_2,M_CVX,2,3,0.885084126901805,27.738124238814375,47.999746186374836,0.885084;0.370373
top_2,D_J,2,4,0.842326490741287,32.61338710332454,39.74020864234335,0.842326;0.683694
top_3,full_nonflag,3,14,0.9872058757314409,9.175020373917464,34.256710086784835,0.987206;0.862069;0.451738
top_3,Omega_J+D_J+M_CVX,3,9,0.9754919898815588,12.711085577425228,40.07741854905279,0.975492;0.805341;0.322855
top_3,quoted_band,3,8,0.9630847522135513,15.616570513083701,39.80840405845126,0.963085;0.834043;0.336686
top_3,Omega_J+D_J,3,6,0.959876526630828,16.28545171973287,42.49860913808718,0.959877;0.774346;0.309745
top_3,Omega_J+M_CVX,3,5,0.9399459675541303,19.957515651669837,53.93822860081581,0.939946;0.467335;0.178483
top_3,Omega_J,3,2,0.9316827145471804,21.301342725006393,52.05484439940598,0.931683;0.125189
top_3,D_J+M_CVX,3,7,0.9247788251870609,22.364972678635663,45.15162450215721,0.924779;0.784247;0.263182
top_3,M_CVX,3,3,0.8906020330890003,27.051004169773943,59.98293580483352,0.890602;0.400716;0.060687
top_3,D_J,3,4,0.8514196594125247,31.633583276048693,50.07312803353602,0.851420;0.749152;0.223203
top_4,full_nonflag,4,14,0.9900604330746279,8.085032008435583,45.16832047055055,0.990060;0.862077;0.452153;0.190454
top_4,Omega_J+D_J+M_CVX,4,9,0.9782003113809032,11.985465459502906,50.70538243576415,0.978200;0.805734;0.323673;0.114894
top_4,quoted_band,4,8,0.9665093905695009,14.87026583768284,50.79437717965175,0.966509;0.834078;0.340886;0.091361
top_4,Omega_J+D_J,4,6,0.9633264741708174,15.56503986140057,53.41575877422889,0.963326;0.775452;0.310374;0.051886
top_4,Omega_J+M_CVX,4,5,0.9413453495139206,19.721268308596454,61.66340965409535,0.941345;0.468189;0.178571;0.084795
top_4,Omega_J,4,2,0.9335124194321793,21.010870266597777,51.57477629555225,0.933512;0.136776
top_4,D_J+M_CVX,4,7,0.9266682516784858,22.078727203793417,54.90865689763214,0.926668;0.785131;0.263846;0.094332
top_4,M_CVX,4,3,0.8910784645971644,26.990919362911878,59.91968433739506,0.891078;0.401038;0.062596
top_4,D_J,4,4,0.8526918994313198,31.494326412940264,59.87548276940032,0.852692;0.751444;0.225512;0.004255
top_6,full_nonflag,6,14,0.9938926823685685,6.335547671559702,55.876532748778544,0.993893;0.862106;0.460873;0.272349;0.183212;0.134297
top_6,Omega_J+D_J+M_CVX,6,9,0.981383922189563,11.072808082006924,61.00192220229701,0.981384;0.807074;0.326751;0.192902;0.128223;0.064349
top_6,quoted_band,6,8,0.9708136927285215,13.876795589938235,61.32397268749759,0.970814;0.834535;0.360980;0.158182;0.109371;0.049280
top_6,Omega_J+D_J,6,6,0.9684160540830421,14.438449626310826,64.04641258597546,0.968416;0.778902;0.317291;0.105558;0.051182;0.026308
top_6,Omega_J+M_CVX,6,5,0.9428145144108198,19.47027990267784,66.60679364976284,0.942815;0.471601;0.186550;0.093468;0.038099
top_6,Omega_J,6,2,0.9353650455687618,20.712799170640743,51.42488106686788,0.935365;0.136806
top_6,D_J+M_CVX,6,7,0.9279806400201301,21.877809722086454,64.48252124878103,0.927981;0.786633;0.279555;0.168089;0.116567;0.008837
top_6,M_CVX,6,3,0.8916956568865685,26.912898175254938,59.659475206856904,0.891696;0.402603;0.073125
top_6,D_J,6,4,0.8551195546245806,31.227054827228766,58.312454022283454,0.855120;0.756905;0.240975;0.084391
top_8,full_nonflag,8,14,0.9952299430393937,5.598506645793063,62.94853160551673,0.995230;0.862405;0.466356;0.285024;0.221327;0.142859;0.085139;0.038039
top_8,Omega_J+D_J+M_CVX,8,9,0.9824341638582438,10.754985518236444,67.38188504277933,0.982434;0.807735;0.334065;0.194004;0.128319;0.111677;0.050580;0.007657
top_8,quoted_band,8,8,0.9718784164808959,13.620108225970068,67.72362290011144,0.971878;0.835044;0.366766;0.158941;0.114355;0.082326;0.048608;0.008276
top_8,Omega_J+D_J,8,6,0.9694742656744211,14.193244646169703,63.41728417072094,0.969474;0.779329;0.321739;0.113826;0.079601;0.045725
top_8,Omega_J+M_CVX,8,5,0.9433105194947273,19.384838719945346,66.04001023114037,0.943311;0.475830;0.199912;0.121871;0.039077
top_8,Omega_J,8,2,0.9358793855336728,20.629316671982867,50.87000064934529,0.935879;0.154526
top_8,D_J+M_CVX,8,7,0.9287309274441018,21.76215387266143,67.7590380604819,0.928731;0.787988;0.284902;0.172631;0.119482;0.028502;0.008058
top_8,M_CVX,8,3,0.8920300625833517,26.870537374691494,59.61254110503527,0.892030;0.402610;0.074830
top_8,D_J,8,4,0.8556674268476815,31.166452379573077,58.069263340903944,0.855667;0.758226;0.247228;0.091811
