class_id,class_code,witness_count,min_variation,max_variation,min_variation_witness_id,selected_witness_member_flag,six_template_member_count,lower_than_selected_count,lower_than_selected_six_template_count
0,0,11,197,347,0,1,1,2,0
1,1,5,197,255,0,1,1,2,0
2,2,1,223,223,2,1,1,0,0
3,3,1,223,223,2,1,1,0,0
4,4,2,197,199,0,0,0,2,0
5,5,1,347,347,10,0,0,0,0
