atom_id,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,positive_side_mass_x1e12,negative_side_mass_x1e12,total_participation_mass_x1e12,positive_fraction_x1e12,distance_to_positive_center_x1e12,distance_to_negative_center_x1e12,distance_advantage_to_positive_x1e12,mode_mean_x1e12
1,60477077300,-211252190800,219738401300,124328246432,28265348410,152593594841,814767137249,371931879593,458597926699,86666047106,555613204673
4,90849806600,-181563331700,203024458600,126240428059,19691268879,145931696939,865065168895,333729754323,449191892999,115462138676,657575763194
7,-16669601900,78213640600,79970302000,211995142048,0,211995142048,1000000000000,235624601811,226306322978,-9318278833,746172418702
11,45857209800,-122436507500,130742426400,43359516520,66216414541,109575931061,395702925816,186690346921,297869971604,111179624683,-625414510873
12,-164396496300,-29281239900,166983828500,0,164417194986,164417194986,0,373524767575,203232589283,-170292178292,-1404169258648
19,-37660884300,141814586300,146730089200,120183775150,95302664975,215486440125,557732426600,371371853824,338666274124,-32705579700,-183441440785
