observable_id,observable_code,value_x1e12,aux_id
0,0,20629332981,-1
1,1,-33331853999,-1
2,2,39199258542,-1
3,3,-64414008159,-1
4,4,-23944469697,-1
5,5,68720463300,-1
6,6,-11167767766,-1
7,7,-29821977736,-1
8,8,31844456235,-1
9,9,50308637915,-1
10,10,171447126521,-1
11,11,85559878776,-1
12,12,154209412933,-1
13,13,50625248627,-1
14,14,94762246226,-1
15,15,305140715396,-1
16,16,286772503879,-1
17,17,311069149257,-1
18,18,64051213831,-1
19,19,107396052624,-1
20,20,103584164306,-1
21,21,0,-1
22,22,0,-1
