state_geometry_id,state_id,nodal_sign,stationary_mass_x1e12,center_x_x1e12,center_y_x1e12,center_radius_x1e12,mean_atom_radius_x1e12,mean_hyperbolic_atom_distance_x1e12,hyperbolic_distance_to_core_center_x1e12,euclidean_distance_to_core_center_x1e12,hyperbolic_distance_to_total_center_x1e12,atom_support_count,top_atom_id,top_atom_mass_x1e12
0,0,1,626107108209,20629332981,-33331853999,39199258542,148866549226,305140715396,154209412933,77024150579,64051213831,5,7,211995142048
1,1,-1,373892891791,-64414008159,-23944469697,68720463300,161289152392,286772503879,50625248627,25223500363,107396052624,5,12,164417194986
2,2,0,1000000000000,-11167767766,-29821977736,31844456235,153511272248,311069149257,94762246226,47314824511,0,6,19,215486440125
