shell,shell_blocks,n11,n10,n00,Gap_factor_form,Q_positive_coefficients,R_positive_coefficients,Q_coeff_min,R_coeff_min,odd_terms,P0_remainder_after_u_minus_1_squared,Bviol_at_equal,D_Bviol_at_equal,contact_set_certified_as_equal_point,contact_derivative_nonpositive,certified
12,2576,616,672,616,"Gap=(u-1)^2 Q(u)+v^2 R(u,v^2)",True,True,164864,164864,0,0,0,0,True,True,True
16,759,330,176,77,"Gap=(u-1)^2 Q(u)+v^2 R(u,v^2)",True,True,194304,194304,0,0,0,0,True,True,True
