shell,power_u,coefficient
12,0,174347199488
12,1,91851999232
12,2,50946438144
12,3,10040877056
12,4,5341923328
12,5,642969600
12,6,332695552
12,7,22421504
12,8,11375616
12,9,329728
12,10,164864
16,0,33174988822272
16,1,27603467054592
16,2,15998573800704
16,3,4393680546816
16,4,2426986172160
16,5,460291797504
16,6,245997219072
16,7,31702640640
16,8,16544402688
16,9,1386164736
16,10,710569728
16,11,34974720
16,12,17681664
16,13,388608
16,14,194304
