screen_id,screen_code,candidate_rank,face_0,face_1,face_2,face_3,face_4,face_5,ordered_0,ordered_1,ordered_2,ordered_3,ordered_4,ordered_5,area_x1e12,area_over_regular_ratio_x1e12,area_over_graham_ratio_x1e12,regular_error_x1e12,graham_error_x1e12,pca_residual_x1e12,projected_hull_vertex_count,public_subgraph_edge_count,connected_flag
0,0,0,0,1,2,9,12,13,13,0,1,9,2,12,654459905217,1007607021837,969597522325,4940905217,20521094783,100467025384,6,1,0
1,1,1,8,9,12,15,16,19,19,12,8,15,9,16,654459905217,1007607021837,969597522325,4940905217,20521094783,100467025384,6,1,0
2,2,2,0,1,4,7,11,14,0,11,7,1,14,4,404508497187,622781623304,599288716552,245010502813,270472502813,54920298768,4,5,1
3,3,3,10,11,13,17,18,19,13,11,17,19,18,10,404508497187,622781623304,599288716552,245010502813,270472502813,54920298768,4,5,1
