name,type,support,K2,K,lambda,log_mgf,codeword_hex,codeword_weight
equal_first_1,equal_subset,1,0.9999833337783967,0.9999916668544777,0.01,4.9999166688919836e-05,,
equal_first_2,equal_subset,2,0.9999833337788477,0.9999916668547032,0.01,9.999833337788477e-05,,
equal_first_3,equal_subset,3,0.9999833337776449,0.9999916668541018,0.01,0.00014999750006664675,,
equal_first_4,equal_subset,4,0.9999833337778415,0.9999916668542002,0.01,0.00019999666675556832,,
equal_first_5,equal_subset,5,0.9999833337771824,0.9999916668538705,0.01,0.0002499958334442956,,
equal_first_6,equal_subset,6,0.9999833337773905,0.9999916668539746,0.01,0.00029999500013321717,,
equal_first_7,equal_subset,7,0.9999833337774798,0.9999916668540193,0.01,0.0003499941668221179,,
equal_first_8,equal_subset,8,0.9999833337780845,0.9999916668543216,0.01,0.0003999933335112338,,
equal_first_9,equal_subset,9,0.9999833337779687,0.9999916668542637,0.01,0.00044999250020008597,,
equal_first_10,equal_subset,10,0.9999833337780151,0.9999916668542869,0.01,0.0004999916668890075,,
equal_first_11,equal_subset,11,0.9999833337782295,0.9999916668543941,0.01,0.0005499908335780263,,
equal_first_12,equal_subset,12,0.9999833337782694,0.9999916668544141,0.01,0.0005999900002669617,,
equal_first_13,equal_subset,13,0.9999833337783245,0.9999916668544416,0.01,0.000649989166955911,,
equal_first_14,equal_subset,14,0.9999833337789469,0.9999916668547528,0.01,0.0006999883336452628,,
equal_first_15,equal_subset,15,1.005839399174458,1.0029154496638577,0.8865363128491619,5.9290206759445185,,
equal_first_16,equal_subset,16,1.062444270611615,1.0307493733258415,0.8865363128491619,6.680195986399862,,
equal_first_17,equal_subset,17,1.052444622950494,1.0258872369566228,0.8787709497206703,6.908274129213824,,
equal_first_18,equal_subset,18,1.095285453916457,1.0465588630920177,0.863240223463687,7.345699640370716,,
equal_first_19,equal_subset,19,1.1505505938174336,1.0726372144473795,0.8399441340782122,7.71134492054127,,
equal_first_20,equal_subset,20,1.20828397644241,1.099219712542679,0.8088826815642457,7.905695638669107,,
equal_first_21,equal_subset,21,1.2668311385024653,1.1255359339010307,0.7778212290502793,8.047622813469513,,
equal_first_22,equal_subset,22,1.3258830237333614,1.1514699404384647,0.7467597765363128,8.133167739776658,,
equal_first_23,equal_subset,23,1.3852683556257073,1.1769742374519958,0.7156983240223462,8.160029979025332,,
equal_first_24,equal_subset,24,1.4448490554420184,1.2020187417182888,0.6846368715083798,8.126888356023315,,
octad_codeword_support,codeword_support_indicator,8,0.9999833337780845,0.9999916668543216,0.01,0.0003999933335112338,0000ff,
dodecad_codeword_support,codeword_support_indicator,12,0.9999833337778531,0.9999916668542059,0.01,0.0005999900002667119,031d3f,
complement_octad_support,codeword_support_indicator,16,1.062444270611615,1.0307493733258415,0.8865363128491619,6.680195986399862,00ffff,
all_ones_codeword_support,codeword_support_indicator,24,1.4448490554420184,1.2020187417182888,0.6846368715083798,8.126888356023315,ffffff,
sign_direction_octad,codeword_sign_direction,24,1.4448490554420184,1.2020187417182888,0.6846368715083798,8.126888356023315,0000ff,8
sign_direction_dodecad,codeword_sign_direction,24,1.4448490554420184,1.2020187417182888,0.6846368715083798,8.126888356023315,031d3f,12
sign_direction_all_ones,codeword_sign_direction,24,1.4448490554420181,1.2020187417182888,0.6846368715083798,8.126888356023313,ffffff,24
