sample,K,K2,lambda,support,a_sha256
0,0.9993847871259741,0.9987699527388285,0.04,24,3a88b70d3e93810df2f7d2c047609b176ade5e3a5a3f43d147825dcc7341bf9b
1,0.9998667141355606,0.9997334460362429,0.04,24,d171b968ea585fd7b5cc2dcf2617b129d4de25c9c28ab0bdf3a49e769f2db083
2,0.9997467774644933,0.999493619050639,0.04,24,2d6a7218dad37e536b764ebe88743b5005c2c39ab5017ae9bba60f59527a61a2
3,0.9994871644317145,0.998974591863749,0.04,24,12fa8fa28d0eaae7893a810cf7c2f37c113b2937bf709505e15d96c79ea93703
4,0.9996816490331427,0.9993633994136235,0.04,24,213a3bdd1c1d3c1dba7ce08f695085551186d2748fd3f38e67a6e02d84987c15
5,0.999648977622485,0.9992980784616795,0.04,24,28129fce56c790a221bcfdc8ea91024cf6e4ff57757bdffd173a180995101e5d
6,0.9998667141355606,0.9997334460362429,0.04,24,6b8a701601e4da1f1d544e4b173ad330589fb92d2aea9d9a77557949df12e19a
7,0.999320537345004,0.9986415363595076,0.04,24,b96d86efdbc31fcccb57f854746341c615ffee7c8296af3e2dc447cb158ff5ce
8,0.9995346106902391,0.9990694379676879,0.04,24,5b9ba242b6384e50bbe23d0931b7ea8df6d7e7948b03427fb17c05d55a965c75
9,0.9997231380096101,0.9994463526717818,0.04,24,3f4708fc6d788c1e9e8d1101fb17a87f83e982c948da43d73c1470790d2690f5
10,0.9996187521651579,0.9992376496802274,0.04,9,949e9be1ead859d44bf091d0d4358cc0375330f9e5cbbea87a09b8f1e6cc4701
11,0.9998667141355606,0.9997334460362429,0.04,24,603ee15f13a01a9b81ccfe937705e384823a2d6d345d4cdb121f997ee94404c8
12,0.9998268466519885,0.999653723286059,0.04,24,a80a8620697480093109b5fe76e403b0106a083c193495c4c045aa330e37f7f0
13,0.9997977713612084,0.9995955836188392,0.04,24,c11b1f9daa15bb80a6e69a2b7849217e1619e3ecd9facb95266ec81c9311c9d6
14,0.9994157159094578,0.9988317732068139,0.04,24,79c3efe39d6ce4fd9d0788f6003c496ab14e76025920da9a917954b73c62d596
