clock_id,layer_code,value,expected_value,certified_flag,next_flag
0,0,36,36,1,0
1,1,35,35,1,0
2,2,1,1,1,0
3,3,20,20,1,0
4,4,19,19,1,0
5,5,1,1,1,0
6,6,33,33,1,0
7,7,32,32,1,0
8,8,1,1,1,0
9,9,259,259,1,0
10,10,642,642,1,0
11,11,3,3,1,0
