label_index,foam_basis,degree
0,unit,0
1,B-∧B+,2
2,B-∧V-,2
3,B-∧V+,2
4,B-∧S-,2
5,B-∧S+,2
6,B+∧V-,2
7,B+∧V+,2
8,B+∧S-,2
9,B+∧S+,2
10,V-∧V+,2
11,V-∧S-,2
12,V-∧S+,2
13,V+∧S-,2
14,V+∧S+,2
15,S-∧S+,2
