,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
unit,-79.06063817120048,0.0,-84.13973549983751,-84.13973549983751,0.0,0.0,-84.13973549983751,-84.13973549983751,0.0,0.0,0.0,84.13973549983751,84.13973549983751,84.13973549983751,84.13973549983751,0.0
B-∧B+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧V-,89.77263731847754,0.0,-0.0550200012620212,-0.0550200012620212,0.0,0.0,-0.0550200012620212,-0.0550200012620212,0.0,0.0,0.0,0.0550200012620212,0.0550200012620212,0.0550200012620212,0.0550200012620212,0.0
B-∧V+,89.77263731847754,0.0,-0.0550200012620212,-0.0550200012620212,0.0,0.0,-0.0550200012620212,-0.0550200012620212,0.0,0.0,0.0,0.0550200012620212,0.0550200012620212,0.0550200012620212,0.0550200012620212,0.0
B-∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧V-,89.77263731847754,0.0,-0.0550200012620212,-0.0550200012620212,0.0,0.0,-0.0550200012620212,-0.0550200012620212,0.0,0.0,0.0,0.0550200012620212,0.0550200012620212,0.0550200012620212,0.0550200012620212,0.0
B+∧V+,89.77263731847754,0.0,-0.0550200012620212,-0.0550200012620212,0.0,0.0,-0.0550200012620212,-0.0550200012620212,0.0,0.0,0.0,0.0550200012620212,0.0550200012620212,0.0550200012620212,0.0550200012620212,0.0
B+∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V-∧V+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V-∧S-,-89.77263731847754,0.0,0.0550200012620212,0.0550200012620212,0.0,0.0,0.0550200012620212,0.0550200012620212,0.0,0.0,0.0,-0.0550200012620212,-0.0550200012620212,-0.0550200012620212,-0.0550200012620212,0.0
V-∧S+,-89.77263731847754,0.0,0.0550200012620212,0.0550200012620212,0.0,0.0,0.0550200012620212,0.0550200012620212,0.0,0.0,0.0,-0.0550200012620212,-0.0550200012620212,-0.0550200012620212,-0.0550200012620212,0.0
V+∧S-,-89.77263731847754,0.0,0.0550200012620212,0.0550200012620212,0.0,0.0,0.0550200012620212,0.0550200012620212,0.0,0.0,0.0,-0.0550200012620212,-0.0550200012620212,-0.0550200012620212,-0.0550200012620212,0.0
V+∧S+,-89.77263731847754,0.0,0.0550200012620212,0.0550200012620212,0.0,0.0,0.0550200012620212,0.0550200012620212,0.0,0.0,0.0,-0.0550200012620212,-0.0550200012620212,-0.0550200012620212,-0.0550200012620212,0.0
S-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
