matrix,component,coefficient,energy_fraction
orbit_normalized,u0_to_u0,0.3791546552470951,0.9069661902551737
orbit_normalized,uV_to_uV,0.08587506170688786,0.046525648669196965
orbit_normalized,uBS_to_uBS,0.046081394157128364,0.013397060922329484
orbit_normalized,u0_to_uBS,-0.04583401773219853,0.013253609466821555
orbit_normalized,uBS_to_u0,-0.04583401773219853,0.013253609466821555
orbit_normalized,u0_to_uV,-0.01735778196637649,0.001900845286563446
orbit_normalized,uV_to_u0,-0.01735778196637646,0.00190084528656344
orbit_normalized,uV_to_uBS,0.014902347471237677,0.0014010953232655536
orbit_normalized,uBS_to_uV,0.014902347471237677,0.0014010953232655536
raw,u0_to_u0,328.3333333333334,0.7997654015993256
raw,u0_to_uBS,-97.57134142086326,0.07062804942887738
raw,uBS_to_u0,-97.57134142086326,0.07062804942887738
raw,uV_to_uV,64.16666666666669,0.030545808099167723
raw,uBS_to_uBS,60.49999999999998,0.027154600016321292
raw,u0_to_uV,8.720983634634095,0.0005642396530647418
raw,uV_to_u0,8.720983634634095,0.0005642396530647418
raw,uV_to_uBS,-3.175426480542953,7.480606065102346e-05
raw,uBS_to_uV,-3.175426480542953,7.480606065102346e-05
