prefix_class_id,witness_count,lexicographic_best_witness_id,lexicographic_best_global_rank,best_trace_detour_overhead,best_signature_valley_depth,best_metric_gromov_delta_twice,best_trace_signature_total_variation,best_closed_path_count,score_pareto_count,closure_augmented_pareto_count,max_closed_path_count,max_closed_path_best_witness_id,min_trace_detour_overhead,min_signature_valley_depth,min_metric_gromov_delta_twice,min_trace_signature_total_variation
0,10,6,7,7,45,3,205,2,0,1,12,9,7,45,1,205
1,14,17,1,6,37,1,143,8,1,2,24,23,6,37,1,143
