profile_id,profile_kind_code,partial_candidate_id,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,normalized_tail_template_count,four_lift_template_count,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count
0,0,10,12,2,1,3,4,5,1,1,5,2,1,4,5,-1,11,48,42,27,31,50,34,25,29,28,34,44,-1,-1,-1,-1,-1,2,197,24,2,0,0,0,24,0
1,0,12,13,2,1,3,4,5,1,3,4,5,2,1,4,5,10,48,42,27,31,50,34,32,31,50,44,-1,-1,-1,-1,-1,-1,2,199,24,3,0,0,0,0,24
2,1,19,13,2,1,4,3,1,5,2,5,5,2,1,4,5,12,48,42,27,28,31,32,29,45,29,28,34,44,-1,-1,-1,-1,2,217,28,7,7,12,4,0,12
3,1,20,11,2,1,4,3,1,5,5,2,1,4,5,-1,-1,12,48,42,27,28,31,32,35,45,29,28,34,44,-1,-1,-1,-1,2,219,28,7,7,12,4,0,12
4,2,-1,13,2,1,3,4,5,1,4,5,5,2,1,4,5,12,48,42,27,31,50,34,54,45,29,28,34,44,-1,-1,-1,-1,2,223,24,6,6,12,4,8,0
