observable_id,observable_code,value_x1e12,aux_id
0,0,22000000000000,-1
1,1,2000000000000,-1
2,2,0,-1
3,3,0,-1
4,4,16000000000000,-1
5,5,9000000000000,-1
6,6,2000000000000,-1
7,7,2000000000000,-1
8,8,217000000000000,-1
9,9,219000000000000,-1
10,10,28000000000000,-1
11,11,7000000000000,-1
12,12,4000000000000,-1
13,13,12000000000000,-1
14,14,4000000000000,-1
15,15,0,-1
16,16,12000000000000,-1
17,17,223000000000000,-1
18,18,24000000000000,-1
19,19,6000000000000,-1
20,20,4000000000000,-1
21,21,6000000000000,-1
