component,A6_energy_fraction_vs_A6,Rhat_energy_fraction_vs_R,cos2_Rhat_with_R,best_scalar_alpha_for_R,best_scaled_fit_energy_vs_R,relative_error_scaled_to_R,participation_rank_A6,participation_rank_Rhat,Rhat_energy_share_vs_full_A6_Rhat
full_A6,1.0,1912419.1322719003,5.155343053653495e-08,1.6418642441487606e-07,5.155343053653495e-08,0.9999999742232848,1.006592571792518,1.0000000240229874,1.0
active_chamber,0.9935526370391362,1912419.1322719075,5.155343053638417e-08,1.641864244146357e-07,5.15534305363842e-08,0.9999999742232848,1.000934264177214,1.0000000240229872,1.0000000000000038
pair_projection,0.993552637039136,1912419.132271916,5.155343053635692e-08,1.6418642441459188e-07,5.1553430536356896e-08,0.9999999742232848,1.000934264177214,1.0000000240229874,1.0000000000000082
scalar_WD6_invariant,0.1652712806308006,758460.067642439,1.1525500467533202e-06,-1.2327174282655052e-06,1.1525500467533209e-06,0.9999994237248108,6.000000000000001,1.0040959783029473,0.39659719715385283
nonpair_residual,0.0064473629608634,3.4669070484196785e-23,0.0073788357245348,14588909221.008358,0.0073788357245348,0.9963037510094324,1.5174845525136154,1.0257802579297024,1.81283850904644e-29
remove_active,0.0064473629608634,8.332555325372552e-24,0.0295761666362568,59577440179.89945,0.0295761666362568,0.9851009254709608,1.5174845525136162,1.1033297012810437,4.357075907033889e-30
