source_sector,raw_sector,block_dimension,matrix_unit_count,expected_matrix_unit_count,first_source_matrix_unit_label,last_source_matrix_unit_label,first_raw_matrix_unit_label,last_raw_matrix_unit_label,active_objects,permutation_rank,permutation_multiplicity,regular_trace_block_square,q42_nonzero_count,q12_nonzero_count,source_identity_fingerprint,perennial_id,coordinate_fingerprint_id
0,32,10,100,100,"u_sector[0;0,0]","u_sector[0;9,9]","u[32;0,0]","u[32;9,9]","B-,V-,V+,S-,S+",360,36,100,7,5,"[-31250, 0, 250001, 250001, -46875, -31250]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
1,25,6,36,36,"u_sector[1;0,0]","u_sector[1;5,5]","u[25;0,0]","u[25;5,5]","B-,V-,V+,S-,S+",108,18,36,8,6,"[-15625, 0, -375001, -343751, 238282, -15625]",a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
2,23,4,16,16,"u_sector[2;0,0]","u_sector[2;3,3]","u[23;0,0]","u[23;3,3]","V+,S+",72,18,16,3,3,"[0, 0, 0, -343751, 0, 476564]",a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
3,12,5,25,25,"u_sector[3;0,0]","u_sector[3;4,4]","u[12;0,0]","u[12;4,4]","V+,S-,S+",120,24,25,4,4,"[0, 0, 0, 208334, -31250, 312501]",a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
4,28,4,16,16,"u_sector[4;0,0]","u_sector[4;3,3]","u[28;0,0]","u[28;3,3]","B-,S-,S+",72,18,16,4,4,"[-15625, 0, 0, 0, 476564, 492189]",a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
5,21,2,4,4,"u_sector[5;0,0]","u_sector[5;1,1]","u[21;0,0]","u[21;1,1]","V-,S+",18,9,4,2,2,"[0, 0, 312501, 0, 0, -253907]",a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
6,9,2,4,4,"u_sector[6;0,0]","u_sector[6;1,1]","u[9;0,0]","u[9;1,1]","S-,S+",18,9,4,2,2,"[0, 0, 0, 0, 119141, -253907]",a985pf.404cf670100d6a5f1a2dd250,a985coord.8b0381188ff5b5b5bf854edb
7,17,1,1,1,"u_sector[7;0,0]","u_sector[7;0,0]","u[17;0,0]","u[17;0,0]",B+,3,3,1,2,2,"[0, 328126, 0, 0, 0, 0]",a985pf.41d0312324b2f0c15d007f6d,a985coord.3c87a850283f68ad6e7f5fdd
8,18,3,9,9,"u_sector[8;0,0]","u_sector[8;2,2]","u[18;0,0]","u[18;2,2]","B-,V+,S-",9,3,9,6,6,"[164063, 0, 0, -223959, 373048, 0]",a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
9,22,3,9,9,"u_sector[9;0,0]","u_sector[9;2,2]","u[22;0,0]","u[22;2,2]","V+,S+",9,3,9,2,2,"[0, 0, 0, -447918, 0, -417970]",a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
10,24,1,1,1,"u_sector[10;0,0]","u_sector[10;0,0]","u[24;0,0]","u[24;0,0]",B+,1,1,1,2,2,"[0, -223959, 0, 0, 0, 0]",a985pf.6a5e79e5cd51d443d142d532,a985coord.a7cab8e86acf5d3b7cd959fb
11,6,5,25,25,"u_sector[11;0,0]","u_sector[11;4,4]","u[6;0,0]","u[6;4,4]","V-,V+,S-,S+",15,3,25,6,3,"[0, 0, 104167, -447918, 373048, -417970]",a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
12,14,4,16,16,"u_sector[12;0,0]","u_sector[12;3,3]","u[14;0,0]","u[14;3,3]","B+,V-,V+",16,4,16,6,4,"[0, 104167, -194445, 402779, 0, 0]",a985pf.4113b4cf3fbfcf77f1f596cb,a985coord.876f8adc4abee9e58f31872e
13,3,2,4,4,"u_sector[13;0,0]","u_sector[13;1,1]","u[3;0,0]","u[3;1,1]","V+,S+",2,1,4,4,4,"[0, 0, 0, -74653, 0, 194011]",a985pf.6cd0c272a8079b2d47dc4ed0,a985coord.a867de8ab97fae143e663619
14,27,5,25,25,"u_sector[14;0,0]","u_sector[14;4,4]","u[27;0,0]","u[27;4,4]","V-,V+,S+",10,2,25,6,4,"[0, 0, 402779, -298612, 0, -223959]",a985pf.eb9d6a0a14d39806215ee30f,a985coord.2a0417f038c9f784471baa11
15,37,4,16,16,"u_sector[15;0,0]","u_sector[15;3,3]","u[37;0,0]","u[37;3,3]","B-,V-,S-",72,18,16,5,5,"[-31250, 0, -375001, 0, 238282, 0]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0
16,7,3,9,9,"u_sector[16;0,0]","u_sector[16;2,2]","u[7;0,0]","u[7;2,2]",V+,18,6,9,1,1,"[0, 0, 0, -343751, 0, 0]",a985pf.7d98d55fa0bcca8585dd44b7,a985coord.a20c61b29f5bb62166e5d81a
17,31,4,16,16,"u_sector[17;0,0]","u_sector[17;3,3]","u[31;0,0]","u[31;3,3]","B-,V+,S-",72,18,16,6,6,"[-15625, 0, 0, -343751, 476564, 0]",a985pf.e35b4767bbe49090117feac8,a985coord.9f366dd0bb7ecf0a65e1ba17
18,20,6,36,36,"u_sector[18;0,0]","u_sector[18;5,5]","u[20;0,0]","u[20;5,5]","B-,B+,V-,V+,S-,S+",6,1,36,12,6,"[388022, -223959, -298612, -74653, -208985, 194011]",a985pf.0431fb38103754f993836167,a985coord.0f48fcbaf752e9308639b2e1
19,5,1,1,1,"u_sector[19;0,0]","u_sector[19;0,0]","u[5;0,0]","u[5;0,0]",B+,6,6,1,2,2,"[0, -343751, 0, 0, 0, 0]",a985pf.034e9541a05e71f5bb32c17d,a985coord.4ea5c02ccd7e013e441b327a
20,11,2,4,4,"u_sector[20;0,0]","u_sector[20;1,1]","u[11;0,0]","u[11;1,1]","B-,S-",36,18,4,4,4,"[-15625, 0, 0, 0, 238282, 0]",a985pf.605336b16161cbfacb8c7451,a985coord.2710d2e520d3bd0dd8f76051
21,33,2,4,4,"u_sector[21;0,0]","u_sector[21;1,1]","u[33;0,0]","u[33;1,1]","B-,S-",18,9,4,4,4,"[492189, 0, 0, 0, 119141, 0]",a985pf.5e5bfcc366256ec7df15b71c,a985coord.c40efde730c8f02557d7b8a1
