source_id,source_code,present_flag,certified_flag,required_for_krein_flag,blocks_full_krein_flag,row_count,column_count
0,0,1,0,1,0,1,0
1,1,1,1,1,0,38415,8
2,2,0,0,1,1,0,0
3,3,0,0,1,1,0,0
