regime_id,regime_code,start_sample_count,end_sample_count,state_count,gap_check_count,nonnegative_count,zero_count,source_certificate_code,regime_certificate_flag
0,0,16,16,33,66,66,2,0,1
1,1,17,127,16095,32190,32190,222,0,1
2,2,128,256,49665,99330,99330,258,1,1
3,3,257,-1,-1,26,26,-1,2,1
