weight_type,series,total_dimension_n,q_exponent,coefficient
gauge,grade0,0,0,1
gauge,grade0,2,4,12
gauge,grade0,4,8,66
gauge,grade0,4,16,12
gauge,grade0,6,12,220
gauge,grade0,6,20,132
gauge,grade0,6,36,12
gauge,grade0,8,16,495
gauge,grade0,8,24,660
gauge,grade0,8,32,66
gauge,grade0,8,40,132
gauge,grade0,8,64,12
gauge,grade0,10,20,792
gauge,grade0,10,28,1980
gauge,grade0,10,36,660
gauge,grade0,10,44,660
gauge,grade0,10,52,132
gauge,grade0,10,68,132
gauge,grade0,10,100,12
gauge,grade0,12,24,924
gauge,grade0,12,32,3960
gauge,grade0,12,40,2970
gauge,grade0,12,48,2200
gauge,grade0,12,56,1320
gauge,grade0,12,72,726
gauge,grade0,12,80,132
gauge,grade0,12,104,132
gauge,grade0,12,144,12
gauge,grade0,14,28,792
gauge,grade0,14,36,5544
gauge,grade0,14,44,7920
gauge,grade0,14,52,5940
gauge,grade0,14,60,5940
gauge,grade0,14,68,660
gauge,grade0,14,76,2640
gauge,grade0,14,84,1320
gauge,grade0,14,100,132
gauge,grade0,14,108,660
gauge,grade0,14,116,132
gauge,grade0,14,148,132
gauge,grade0,14,196,12
gauge,grade0,16,32,495
gauge,grade0,16,40,5544
gauge,grade0,16,48,13860
gauge,grade0,16,56,13464
gauge,grade0,16,64,16335
gauge,grade0,16,72,5940
gauge,grade0,16,80,6930
gauge,grade0,16,88,6600
gauge,grade0,16,96,660
gauge,grade0,16,104,1320
gauge,grade0,16,112,1980
gauge,grade0,16,120,1320
gauge,grade0,16,128,66
gauge,grade0,16,136,132
gauge,grade0,16,152,660
gauge,grade0,16,160,132
gauge,grade0,16,200,132
gauge,grade0,16,256,12
gauge,grade0,18,36,220
gauge,grade0,18,44,3960
gauge,grade0,18,52,16632
gauge,grade0,18,60,24024
gauge,grade0,18,68,31680
gauge,grade0,18,76,23760
gauge,grade0,18,84,15444
gauge,grade0,18,92,21780
gauge,grade0,18,100,5940
gauge,grade0,18,108,6160
gauge,grade0,18,116,5280
gauge,grade0,18,124,5940
gauge,grade0,18,132,1320
gauge,grade0,18,140,1320
gauge,grade0,18,156,1980
gauge,grade0,18,164,1452
gauge,grade0,18,180,132
gauge,grade0,18,204,660
gauge,grade0,18,212,132
gauge,grade0,18,260,132
gauge,grade0,18,324,12
gauge,grade0,20,40,66
gauge,grade0,20,48,1980
