domain_row_id,atom_id,step_atom_id,incidence_value,candidate_basis_id,identity_step_basis_flag
0,0,0,3,0,1
1,0,2,-2,2,1
2,0,9,4,9,1
3,0,11,-4,11,1
4,0,23,-1,23,1
5,1,5,-1,5,1
6,1,9,-4,9,1
7,1,14,4,14,1
8,1,19,2,19,1
9,1,22,-2,22,1
10,1,23,1,23,1
11,2,12,1,12,1
12,2,21,1,21,1
13,2,22,-2,22,1
14,3,0,1,0,1
15,3,2,-1,2,1
16,3,3,1,3,1
17,3,21,-1,21,1
18,4,0,-3,0,1
19,4,2,2,2,1
20,4,8,-2,8,1
21,4,10,-1,10,1
22,4,13,2,13,1
23,4,17,2,17,1
24,5,12,-1,12,1
25,5,19,1,19,1
26,5,21,1,21,1
27,5,24,-1,24,1
28,6,4,1,4,1
29,6,6,1,6,1
30,6,7,-2,7,1
31,6,21,-1,21,1
32,6,24,1,24,1
33,7,3,1,3,1
34,7,5,1,5,1
35,7,14,-4,14,1
36,7,18,3,18,1
37,7,20,-1,20,1
38,8,0,-1,0,1
39,8,2,1,2,1
40,8,10,1,10,1
41,8,13,1,13,1
42,8,17,-2,17,1
43,9,4,-1,4,1
44,9,7,2,7,1
45,9,13,1,13,1
46,9,18,-3,18,1
47,9,20,1,20,1
48,10,4,1,4,1
49,10,8,2,8,1
50,10,13,-2,13,1
51,10,18,1,18,1
52,10,20,-2,20,1
53,11,0,1,0,1
54,11,2,-2,2,1
55,11,11,4,11,1
56,11,23,-3,23,1
57,12,3,-1,3,1
58,12,5,-1,5,1
59,12,14,1,14,1
60,12,18,-1,18,1
61,12,20,2,20,1
62,13,4,-1,4,1
63,13,16,-2,16,1
64,13,23,3,23,1
65,14,1,2,1,1
66,14,13,-1,13,1
67,14,15,-1,15,1
68,14,19,-2,19,1
69,14,22,2,22,1
70,15,1,-2,1,1
71,15,13,-1,13,1
72,15,15,1,15,1
73,15,22,2,22,1
74,16,0,-1,0,1
75,16,2,2,2,1
76,16,3,-1,3,1
77,16,21,1,21,1
78,16,24,-1,24,1
79,17,4,1,4,1
80,17,6,-1,6,1
81,17,21,-1,21,1
82,17,24,1,24,1
83,18,5,1,5,1
84,18,9,1,9,1
85,18,14,-1,14,1
86,18,19,-1,19,1
87,19,4,-1,4,1
88,19,9,-1,9,1
89,19,16,2,16,1
