orientation_code,initial_domain_count,edge_covered_count,candidate_pair_count,max_pair_multiplicity,prune_iteration_count,final_domain_count,empty_atom_count,functorial_map_exists_flag
0,90,15,24,3,3,0,20,0
1,90,20,59,6,3,0,20,0
