prune_row_id,orientation_code,iteration,removed_domain_count,remaining_domain_count,empty_atom_count
0,0,1,89,1,19
1,0,2,1,0,20
2,0,3,0,0,20
3,1,1,79,11,13
4,1,2,11,0,20
5,1,3,0,0,20
