edge_row_id,orientation_code,visible_index,source_atom_id,target_atom_id,candidate_pair_count,covered_flag,sample_left_basis_id,sample_right_basis_id,sample_transition_id
0,0,0,0,2,0,0,-1,-1,-1
1,0,1,1,5,1,1,14,21,43
2,0,2,2,11,1,1,22,23,65
3,0,3,5,15,3,1,12,15,35
4,0,4,11,13,0,0,-1,-1,-1
5,0,5,15,10,2,1,1,20,5
6,0,6,13,16,1,1,16,24,49
7,0,7,10,7,2,1,8,14,24
8,0,8,16,19,0,0,-1,-1,-1
9,0,9,7,18,2,1,5,14,16
10,0,10,19,17,1,1,16,24,49
11,0,11,18,14,1,1,14,22,44
12,0,12,17,8,1,1,4,13,13
13,0,13,14,4,2,1,1,2,3
14,0,14,8,6,0,0,-1,-1,-1
15,0,15,4,9,2,1,13,18,39
16,0,16,6,3,0,0,-1,-1,-1
17,0,17,9,12,1,1,13,18,39
18,0,18,3,0,1,1,0,2,1
19,0,19,12,1,3,1,5,14,16
0,1,0,0,2,1,1,23,22,65
1,1,1,1,5,3,1,14,21,43
2,1,2,2,11,1,1,22,23,65
3,1,3,5,15,4,1,12,15,35
4,1,4,11,13,1,1,11,4,12
5,1,5,15,10,4,1,1,20,5
6,1,6,13,16,1,1,16,24,49
7,1,7,10,7,6,1,8,3,10
8,1,8,16,19,1,1,24,16,49
9,1,9,7,18,5,1,5,14,16
10,1,10,19,17,2,1,16,6,19
11,1,11,18,14,3,1,5,1,4
12,1,12,17,8,1,1,4,13,13
13,1,13,14,4,5,1,1,0,0
14,1,14,8,6,2,1,10,7,21
15,1,15,4,9,5,1,10,7,21
16,1,16,6,3,1,1,6,3,9
17,1,17,9,12,3,1,13,18,39
18,1,18,3,0,4,1,0,2,1
19,1,19,12,1,6,1,5,14,16
