basis_index,pivot_relation_alpha
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,9
9,10
10,14
11,17
12,18
13,20
14,25
15,28
16,151
17,152
18,154
19,155
20,156
21,157
22,158
23,227
24,228
25,229
26,230
27,231
28,349
29,350
30,351
31,353
32,354
33,355
34,356
35,358
36,613
37,615
38,618
