witness_id,tail_entry_carrier_id,normalized_tail_template_count,closed_path_count,path_count_per_template_min,path_count_per_template_max
9,9,3,6,2,2
9,10,1,2,2,2
9,11,2,4,2,2
23,9,3,12,4,4
23,10,1,4,4,4
23,11,2,8,4,4
