witness_id,word_length,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,symbol_4_id,symbol_5_id,symbol_6_id,symbol_7_id,symbol_8_id,symbol_9_id,shared_tail_start_symbol_index,pre_tail_symbol_count,full_carrier_path_count,first_return_closed_path_count,normalized_tail_template_count,tail_entry_carrier_count,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,template_lift_count_min,template_lift_count_max,fixed_tail_atom_sequence_flag,final_pre_origin_carrier_id,final_pre_origin_path_count,intermediate_origin_hit_count
9,9,2,1,4,5,5,2,1,4,5,-1,4,4,120,12,6,3,6,2,4,2,2,1,13,12,0
23,10,2,1,3,4,5,5,2,1,4,5,5,5,240,24,6,3,12,4,8,4,4,1,13,24,0
