witness_id,closed_path_id,word_length,shared_tail_start_symbol_index,normalized_tail_template_id,tail_entry_carrier_id,final_pre_origin_carrier_id,first_return_closed_flag,carrier_0_id,carrier_1_id,carrier_2_id,carrier_3_id,carrier_4_id,carrier_5_id,carrier_6_id,carrier_7_id,carrier_8_id,carrier_9_id,carrier_10_id,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,cell_edge_4_id,cell_edge_5_id,cell_edge_6_id,cell_edge_7_id,cell_edge_8_id,cell_edge_9_id,selected_atom_0_id,selected_atom_1_id,selected_atom_2_id,selected_atom_3_id,selected_atom_4_id,selected_atom_5_id,selected_atom_6_id,selected_atom_7_id,selected_atom_8_id,selected_atom_9_id,tail_carrier_0_id,tail_carrier_1_id,tail_carrier_2_id,tail_carrier_3_id,tail_carrier_4_id,tail_carrier_5_id,tail_cell_edge_0_id,tail_cell_edge_1_id,tail_cell_edge_2_id,tail_cell_edge_3_id,tail_cell_edge_4_id,tail_selected_atom_0_id,tail_selected_atom_1_id,tail_selected_atom_2_id,tail_selected_atom_3_id,tail_selected_atom_4_id
9,0,9,4,0,9,13,1,12,3,8,13,9,10,3,8,13,12,-1,14,11,33,37,34,12,11,33,43,-1,7,4,12,19,19,7,4,12,19,-1,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
9,1,9,4,1,9,13,1,12,3,8,13,9,10,11,8,13,12,-1,14,11,33,37,34,38,31,33,43,-1,7,4,12,19,19,7,4,12,19,-1,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
9,2,9,4,2,9,13,1,12,3,8,13,9,11,3,8,13,12,-1,14,11,33,37,35,13,11,33,43,-1,7,4,12,19,19,7,4,12,19,-1,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
9,3,9,4,3,10,13,1,12,3,8,13,10,11,3,8,13,12,-1,14,11,33,40,38,13,11,33,43,-1,7,4,12,19,19,7,4,12,19,-1,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
9,4,9,4,4,11,13,1,12,3,8,13,11,10,3,8,13,12,-1,14,11,33,42,38,12,11,33,43,-1,7,4,12,19,19,7,4,12,19,-1,11,10,3,8,13,12,38,12,11,33,43,19,7,4,12,19
9,5,9,4,5,11,13,1,12,3,8,13,11,10,11,8,13,12,-1,14,11,33,42,38,38,31,33,43,-1,7,4,12,19,19,7,4,12,19,-1,11,10,11,8,13,12,38,38,31,33,43,19,7,4,12,19
9,6,9,4,0,9,13,1,12,11,8,13,9,10,3,8,13,12,-1,41,31,33,37,34,12,11,33,43,-1,7,4,12,19,19,7,4,12,19,-1,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
9,7,9,4,1,9,13,1,12,11,8,13,9,10,11,8,13,12,-1,41,31,33,37,34,38,31,33,43,-1,7,4,12,19,19,7,4,12,19,-1,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
9,8,9,4,2,9,13,1,12,11,8,13,9,11,3,8,13,12,-1,41,31,33,37,35,13,11,33,43,-1,7,4,12,19,19,7,4,12,19,-1,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
9,9,9,4,3,10,13,1,12,11,8,13,10,11,3,8,13,12,-1,41,31,33,40,38,13,11,33,43,-1,7,4,12,19,19,7,4,12,19,-1,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
9,10,9,4,4,11,13,1,12,11,8,13,11,10,3,8,13,12,-1,41,31,33,42,38,12,11,33,43,-1,7,4,12,19,19,7,4,12,19,-1,11,10,3,8,13,12,38,12,11,33,43,19,7,4,12,19
9,11,9,4,5,11,13,1,12,11,8,13,11,10,11,8,13,12,-1,41,31,33,42,38,38,31,33,43,-1,7,4,12,19,19,7,4,12,19,-1,11,10,11,8,13,12,38,38,31,33,43,19,7,4,12,19
23,0,10,5,0,9,13,1,12,3,8,6,13,9,10,3,8,13,12,14,11,24,26,37,34,12,11,33,43,7,4,11,12,19,19,7,4,12,19,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
23,1,10,5,1,9,13,1,12,3,8,6,13,9,10,11,8,13,12,14,11,24,26,37,34,38,31,33,43,7,4,11,12,19,19,7,4,12,19,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
23,2,10,5,2,9,13,1,12,3,8,6,13,9,11,3,8,13,12,14,11,24,26,37,35,13,11,33,43,7,4,11,12,19,19,7,4,12,19,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
23,3,10,5,3,10,13,1,12,3,8,6,13,10,11,3,8,13,12,14,11,24,26,40,38,13,11,33,43,7,4,11,12,19,19,7,4,12,19,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
23,4,10,5,4,11,13,1,12,3,8,6,13,11,10,3,8,13,12,14,11,24,26,42,38,12,11,33,43,7,4,11,12,19,19,7,4,12,19,11,10,3,8,13,12,38,12,11,33,43,19,7,4,12,19
23,5,10,5,5,11,13,1,12,3,8,6,13,11,10,11,8,13,12,14,11,24,26,42,38,38,31,33,43,7,4,11,12,19,19,7,4,12,19,11,10,11,8,13,12,38,38,31,33,43,19,7,4,12,19
23,6,10,5,0,9,13,1,12,3,8,7,13,9,10,3,8,13,12,14,11,27,30,37,34,12,11,33,43,7,4,11,12,19,19,7,4,12,19,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
23,7,10,5,1,9,13,1,12,3,8,7,13,9,10,11,8,13,12,14,11,27,30,37,34,38,31,33,43,7,4,11,12,19,19,7,4,12,19,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
23,8,10,5,2,9,13,1,12,3,8,7,13,9,11,3,8,13,12,14,11,27,30,37,35,13,11,33,43,7,4,11,12,19,19,7,4,12,19,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
23,9,10,5,3,10,13,1,12,3,8,7,13,10,11,3,8,13,12,14,11,27,30,40,38,13,11,33,43,7,4,11,12,19,19,7,4,12,19,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
23,10,10,5,4,11,13,1,12,3,8,7,13,11,10,3,8,13,12,14,11,27,30,42,38,12,11,33,43,7,4,11,12,19,19,7,4,12,19,11,10,3,8,13,12,38,12,11,33,43,19,7,4,12,19
23,11,10,5,5,11,13,1,12,3,8,7,13,11,10,11,8,13,12,14,11,27,30,42,38,38,31,33,43,7,4,11,12,19,19,7,4,12,19,11,10,11,8,13,12,38,38,31,33,43,19,7,4,12,19
23,12,10,5,0,9,13,1,12,11,8,6,13,9,10,3,8,13,12,41,31,24,26,37,34,12,11,33,43,7,4,11,12,19,19,7,4,12,19,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
23,13,10,5,1,9,13,1,12,11,8,6,13,9,10,11,8,13,12,41,31,24,26,37,34,38,31,33,43,7,4,11,12,19,19,7,4,12,19,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
23,14,10,5,2,9,13,1,12,11,8,6,13,9,11,3,8,13,12,41,31,24,26,37,35,13,11,33,43,7,4,11,12,19,19,7,4,12,19,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
23,15,10,5,3,10,13,1,12,11,8,6,13,10,11,3,8,13,12,41,31,24,26,40,38,13,11,33,43,7,4,11,12,19,19,7,4,12,19,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
23,16,10,5,4,11,13,1,12,11,8,6,13,11,10,3,8,13,12,41,31,24,26,42,38,12,11,33,43,7,4,11,12,19,19,7,4,12,19,11,10,3,8,13,12,38,12,11,33,43,19,7,4,12,19
23,17,10,5,5,11,13,1,12,11,8,6,13,11,10,11,8,13,12,41,31,24,26,42,38,38,31,33,43,7,4,11,12,19,19,7,4,12,19,11,10,11,8,13,12,38,38,31,33,43,19,7,4,12,19
23,18,10,5,0,9,13,1,12,11,8,7,13,9,10,3,8,13,12,41,31,27,30,37,34,12,11,33,43,7,4,11,12,19,19,7,4,12,19,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
23,19,10,5,1,9,13,1,12,11,8,7,13,9,10,11,8,13,12,41,31,27,30,37,34,38,31,33,43,7,4,11,12,19,19,7,4,12,19,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
23,20,10,5,2,9,13,1,12,11,8,7,13,9,11,3,8,13,12,41,31,27,30,37,35,13,11,33,43,7,4,11,12,19,19,7,4,12,19,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
23,21,10,5,3,10,13,1,12,11,8,7,13,10,11,3,8,13,12,41,31,27,30,40,38,13,11,33,43,7,4,11,12,19,19,7,4,12,19,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
23,22,10,5,4,11,13,1,12,11,8,7,13,11,10,3,8,13,12,41,31,27,30,42,38,12,11,33,43,7,4,11,12,19,19,7,4,12,19,11,10,3,8,13,12,38,12,11,33,43,19,7,4,12,19
23,23,10,5,5,11,13,1,12,11,8,7,13,11,10,11,8,13,12,41,31,27,30,42,38,38,31,33,43,7,4,11,12,19,19,7,4,12,19,11,10,11,8,13,12,38,38,31,33,43,19,7,4,12,19
