shell,start_index,iterations,final_psi,final_ratio,final_cv_x,final_logx_std,monotone_psi,initial_psi,initial_cv_x,converged_equal
12,0,1,2.6645352591003757e-15,1.0000000000000027,7.519661107204846e-16,7.101517130505344e-16,True,0.0,0.0,True
12,1,22,-8.881784197001252e-16,0.9999999999999991,3.7180511029476736e-14,3.719308746312452e-14,True,-0.5514591418395565,0.253004385463236,True
12,2,22,0.0,1.0,3.584432450600686e-14,3.586102688891484e-14,True,-0.6017720877696249,0.26585247379049903,True
12,3,22,3.552713678800501e-15,1.0000000000000036,3.605666851954557e-14,3.606978987121065e-14,True,-0.5794475829572878,0.25984692184938224,True
12,4,22,8.881784197001252e-16,1.0000000000000009,3.6745461095021374e-14,3.675186071448138e-14,True,-0.5534639775185788,0.2532713696885798,True
12,5,22,0.0,1.0,3.6032788126215917e-14,3.6030609701462e-14,True,-0.5589459779971797,0.2541340207897519,True
12,6,22,2.6645352591003757e-15,1.0000000000000027,3.6883278742225676e-14,3.690117253694664e-14,True,-0.5414901020613154,0.2499726747917346,True
12,7,22,8.881784197001252e-16,1.0000000000000009,3.872196260191244e-14,3.8726903697868626e-14,True,-0.4866888653742558,0.23540421266489406,True
12,8,22,3.552713678800501e-15,1.0000000000000036,3.445575711088074e-14,3.447196182196257e-14,True,-0.6392642025589241,0.27475848791200574,True
12,9,22,0.0,1.0,3.8854541140364176e-14,3.8862927020127497e-14,True,-0.47129939346965966,0.23099719680936306,True
12,10,22,3.552713678800501e-15,1.0000000000000036,3.304907099724085e-14,3.305718056762026e-14,True,-0.7467768401899386,0.3011813107717436,True
12,11,22,3.552713678800501e-15,1.0000000000000036,3.835606318718877e-14,3.836437960414693e-14,True,-0.4959854817377565,0.23790791729202695,True
12,12,22,1.7763568394002505e-15,1.0000000000000018,3.52746468418772e-14,3.5276170021138157e-14,True,-0.6100313826307051,0.2675703521886946,True
12,13,22,2.6645352591003757e-15,1.0000000000000027,3.756441422197948e-14,3.7577458408427116e-14,True,-0.4976251142804431,0.23786765019842362,True
12,14,22,8.881784197001252e-16,1.0000000000000009,3.51594094185544e-14,3.5151500467819383e-14,True,-0.606241559768705,0.266559407435571,True
12,15,22,8.881784197001252e-16,1.0000000000000009,3.728236118787781e-14,3.729828385860854e-14,True,-0.5221178522357643,0.24470094016183547,True
12,16,22,3.552713678800501e-15,1.0000000000000036,3.5918674747404787e-14,3.595281922457825e-14,True,-0.5747119119963191,0.2585284819209278,True
12,17,22,3.552713678800501e-15,1.0000000000000036,3.581235140325305e-14,3.58282530503739e-14,True,-0.5927636890508978,0.26351979584384705,True
12,18,22,8.881784197001252e-16,1.0000000000000009,3.528551383680962e-14,3.52909676054183e-14,True,-0.6249520923140652,0.2716993486174931,True
12,19,22,1.7763568394002505e-15,1.0000000000000018,3.9397518491516e-14,3.940127590471692e-14,True,-0.4674008822215141,0.23019912618270472,True
12,20,22,1.7763568394002505e-15,1.0000000000000018,3.894451138502232e-14,3.895008820550759e-14,True,-0.46645626057518186,0.22961975935017137,True
12,21,22,8.881784197001252e-16,1.0000000000000009,3.690031143856504e-14,3.691133261848486e-14,True,-0.532961857997619,0.2475242851407123,True
12,22,22,1.7763568394002505e-15,1.0000000000000018,3.732794383882545e-14,3.734037777678872e-14,True,-0.5298072737510635,0.24688757895863334,True
12,23,22,1.7763568394002505e-15,1.0000000000000018,3.560530128657438e-14,3.562678152038272e-14,True,-0.5805385400515757,0.2598527493713922,True
12,24,22,2.6645352591003757e-15,1.0000000000000027,3.663020294120599e-14,3.665811687879465e-14,True,-0.564123698774349,0.2561763118219285,True
12,25,22,8.881784197001252e-16,1.0000000000000009,3.493633601049746e-14,3.494072742983998e-14,True,-0.6173468564210571,0.2692736351739684,True
12,26,22,0.0,1.0,3.634499806825682e-14,3.6357448567049754e-14,True,-0.5459202603635642,0.25082136408056727,True
12,27,22,3.552713678800501e-15,1.0000000000000036,3.5573481500875555e-14,3.557171402838471e-14,True,-0.5763095751350944,0.25867880841070157,True
12,28,22,8.881784197001252e-16,1.0000000000000009,3.6275110943898466e-14,3.629653592334551e-14,True,-0.5540130609935723,0.2530001556254135,True
12,29,22,2.6645352591003757e-15,1.0000000000000027,3.718656761828614e-14,3.720276086813951e-14,True,-0.5167888677497752,0.24315523709816728,True
12,30,22,8.881784197001252e-16,1.0000000000000009,3.6272045617544516e-14,3.628474651090191e-14,True,-0.5413195177213881,0.24938500854757725,True
12,31,23,2.6645352591003757e-15,1.0000000000000027,1.9560888372241706e-14,1.9566466328196666e-14,True,-2.1314178159244115,0.5131846064035241,True
12,32,23,2.6645352591003757e-15,1.0000000000000027,2.1459828975351312e-14,2.1476293883872687e-14,True,-1.6587455837258718,0.4408582818884069,True
12,33,23,1.7763568394002505e-15,1.0000000000000018,2.1709875904841766e-14,2.172789165998201e-14,True,-1.5288558121564542,0.41936298295074037,True
12,34,23,1.7763568394002505e-15,1.0000000000000018,2.1689817690998843e-14,2.170343839048336e-14,True,-1.7462118960017756,0.45684325369258727,True
12,35,23,3.552713678800501e-15,1.0000000000000036,1.964860829680609e-14,1.9655827541215334e-14,True,-2.3735261978348428,0.552371489315254,True
12,36,23,2.6645352591003757e-15,1.0000000000000027,2.0632719056181376e-14,2.0637083828607813e-14,True,-1.8095430217531776,0.46400692821758693,True
12,37,23,3.552713678800501e-15,1.0000000000000036,1.9169614235717554e-14,1.91866692993044e-14,True,-2.1021419686476683,0.5077426297981168,True
12,38,22,8.881784197001252e-16,1.0000000000000009,6.928676770894441e-14,6.929632163537103e-14,True,-3.1171398038301312,0.6574994748386399,True
12,39,22,0.0,1.0,6.610601251681994e-14,6.611296930002076e-14,True,-2.651206714666129,0.5850872356976934,True
12,40,23,0.0,1.0,2.037641137165282e-14,2.038082749153605e-14,True,-1.971008984364186,0.48951742543071264,True
12,41,23,1.7763568394002505e-15,1.0000000000000018,1.922265486019271e-14,1.9252039464687877e-14,True,-2.287596184053111,0.5368288954633949,True
12,42,23,1.7763568394002505e-15,1.0000000000000018,1.9500025281725902e-14,1.950129259408366e-14,True,-2.1700950661172893,0.5185280794264604,True
12,43,22,1.7763568394002505e-15,1.0000000000000018,6.606863667559118e-14,6.608335730430862e-14,True,-2.93396979633805,0.6269827600665278,True
12,44,23,3.552713678800501e-15,1.0000000000000036,1.9662952990052988e-14,1.9674203761282382e-14,True,-1.9574622839541966,0.4856019787816221,True
12,45,23,8.881784197001252e-16,1.0000000000000009,2.0912777922170015e-14,2.0924203470727752e-14,True,-1.8455714223321769,0.470594415129601,True
12,46,23,8.881784197001252e-16,1.0000000000000009,2.3569512292709723e-14,2.3570547184817296e-14,True,-1.4165675469174532,0.4034728006417066,True
12,47,23,8.881784197001252e-16,1.0000000000000009,1.9805517342764758e-14,1.98138476174966e-14,True,-2.489434562560759,0.5705180281590563,True
12,48,23,8.881784197001252e-16,1.0000000000000009,1.929754508066048e-14,1.9308096653289965e-14,True,-2.210760552655472,0.5249632163816046,True
12,49,23,2.6645352591003757e-15,1.0000000000000027,1.9597401978374938e-14,1.961791701578536e-14,True,-2.2043327153776113,0.5244080555250532,True
12,50,23,1.7763568394002505e-15,1.0000000000000018,2.1146287995195262e-14,2.1139225224431577e-14,True,-1.7084328742307413,0.44869270921060384,True
12,51,23,2.6645352591003757e-15,1.0000000000000027,2.1246646879407123e-14,2.125039011599186e-14,True,-1.8088442646277025,0.4658257070486301,True
12,52,22,3.552713678800501e-15,1.0000000000000036,6.656742629316223e-14,6.657834434121773e-14,True,-3.1501023461762374,0.6589744584106277,True
12,53,23,4.440892098500626e-15,1.0000000000000044,1.9875408331263867e-14,1.9897717163264874e-14,True,-2.220521606045936,0.5274243731406727,True
12,54,22,8.881784197001252e-16,1.0000000000000009,6.593250768019885e-14,6.594457186400848e-14,True,-2.9678334608569132,0.6314206165122702,True
12,55,23,1.7763568394002505e-15,1.0000000000000018,1.8837088439047497e-14,1.885631988200108e-14,True,-2.314700866521431,0.5406439724204429,True
12,56,23,4.440892098500626e-15,1.0000000000000044,1.99430329485609e-14,1.996265950964736e-14,True,-1.953174987675741,0.48568218304275984,True
12,57,23,1.7763568394002505e-15,1.0000000000000018,2.1062391905589912e-14,2.1078913075857998e-14,True,-1.7698830976736541,0.4578833225608646,True
12,58,23,2.6645352591003757e-15,1.0000000000000027,1.959091477061127e-14,1.9589887432385204e-14,True,-1.8976306702124255,0.47585660294238175,True
12,59,23,2.6645352591003757e-15,1.0000000000000027,1.9762658518045026e-14,1.9785935936024857e-14,True,-2.038750203375942,0.4995798607771504,True
12,60,23,1.7763568394002505e-15,1.0000000000000018,1.9703969649652025e-14,1.9718755370248398e-14,True,-2.0652608253182176,0.5051589022107724,True
12,61,23,8.881784197001252e-16,1.0000000000000009,4.845394850602474e-14,4.846969837637871e-14,True,-5.507969798046784,0.8593276076194525,True
12,62,23,8.881784197001252e-16,1.0000000000000009,5.039862790620574e-14,5.040379750895271e-14,True,-6.669137573393764,0.9906185981018,True
12,63,23,4.440892098500626e-15,1.0000000000000044,3.847006219703905e-14,3.8490148311803104e-14,True,-8.852440334122239,1.2192458144355376,True
12,64,23,1.7763568394002505e-15,1.0000000000000018,4.9031180794969077e-14,4.903841509054447e-14,True,-5.478029900092888,0.8556397330365629,True
12,65,23,1.7763568394002505e-15,1.0000000000000018,4.339883435845127e-14,4.3409578228741126e-14,True,-9.918224437191167,1.3609603305157503,True
12,66,23,8.881784197001252e-16,1.0000000000000009,4.1071431224828693e-14,4.109212416584368e-14,True,-9.598695635040507,1.322349063245899,True
