version_id,epoch_id,version_code,byte_surface_per_message,decoder_code,source_report_code,materialized_flag,valid_decode_count,invalid_reject_count,mint_normal_form_flag,cross_version_canonical_flag
0,0,0,4,0,0,1,56,0,1,1
1,0,1,1,1,1,1,56,200,1,1
