scope_id,scope_code,source_present_flag,certified_flag,claim_flag,open_flag
0,0,1,1,1,0
1,1,1,1,1,0
2,2,1,1,1,0
3,3,0,0,0,1
4,4,0,0,0,1
5,5,0,0,0,1
6,6,0,0,0,1
