edge_id,source_surface_id,target_surface_id,edge_code,closed_flag,gap_flag
0,0,1,0,1,0
1,1,2,1,1,0
2,2,3,2,1,0
3,4,5,3,1,0
4,5,6,4,1,0
5,6,7,5,1,1
6,7,8,6,1,0
7,8,9,7,1,0
8,9,10,8,1,0
9,10,11,9,1,0
10,11,12,10,1,0
11,11,13,11,1,0
12,11,14,12,1,0
13,11,15,13,1,0
14,11,16,14,1,0
15,13,17,15,1,0
16,14,18,16,1,0
17,15,18,17,1,0
18,16,19,18,1,0
19,17,19,19,1,0
20,18,19,20,1,0
21,19,20,21,1,0
22,21,22,22,1,0
23,17,22,23,1,0
24,14,22,24,1,0
25,15,22,25,1,0
