observable_id,observable_code,value
0,0,985
1,1,6
2,2,5
3,3,30
4,4,5420393088
5,5,29385031680
6,6,16261179264
7,7,88155095040
8,8,51
9,9,2352
10,10,4271578880
11,11,110592
12,12,15373172736
13,13,0
14,14,239
15,15,1387594500520
16,16,2
17,17,50
18,18,1
19,19,13114415232
20,20,3146764032
21,21,74773168128
22,22,13381926912
23,23,91
24,24,5629
25,25,4938
26,26,691
27,27,1275
28,28,1
29,29,11
30,30,6674
31,31,749239
32,32,1
33,33,197910
34,34,3
35,35,33
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,1
