gate_id,p5_id,support_total,mult_total,active_owner_count,support_occurrence_count,mult_occurrence_count,slack_min,slack_max,slack_sum
0,1,461762048,4246732800,3,1385286144,12740198400,32,239,115496301296
1,47,461762048,3503554560,3,1385286144,10510663680,24,239,148809502432
2,57,2086680064,9555148800,16,6260040192,28665446400,0,179,438808362048
3,79,2086680064,6794772480,10,6260040192,20384317440,0,239,651321396448
4,110,161754432,3019898880,28,485263296,9059696640,0,75,16550828176
5,128,161754432,2264924160,15,485263296,6794772480,0,71,16608110120
