observable_id,observable_code,value,scale_code
0,0,144,0
1,1,10296,0
2,2,487344,0
3,3,481008528,0
4,4,11213312,0
5,5,10515968,0
6,6,2601984,0
7,7,2447744,0
8,8,4213120,0
9,9,1815040,0
10,10,1,0
11,11,1,0
12,12,1,0
13,13,60,0
14,14,2,0
15,15,4,0
16,16,2734,0
17,17,3526,0
18,18,0,0
19,19,19527470,0
20,20,1,0
21,21,8,0
22,22,41,0
23,23,52,0
24,24,54,0
25,25,12,0
26,26,12,0
27,27,12,0
28,28,22,0
29,29,22,0
30,30,3384704,0
31,31,644687,0
32,32,3384704,0
33,33,644687,0
34,34,4,0
35,35,7735158,0
36,36,1,0
37,37,1,0
38,38,1,0
39,39,1,0
