atom_id,outgoing_signed_tension_scaled,incoming_signed_tension_scaled,net_divergence_scaled,incident_abs_tension_scaled,local_balance_flag
0,-80000000000,20000000000,-100000000000,100000000000,0
1,0,7311715047,-7311715047,7311715047,0
2,0,0,0,0,1
3,0,338229093,-338229093,338229093,0
4,0,0,0,0,1
5,-13780907427,0,-13780907427,18655384125,0
6,338229093,0,338229093,338229093,0
7,30236915020,20272682220,9964232800,50509597240,0
8,-22323258234,0,-22323258234,22323258234,0
9,-80000000000,30236915020,-110236915020,110236915020,0
10,-74652077480,0,-74652077480,74652077480,0
11,20000000000,-74652077480,94652077480,94652077480,0
12,4874476698,-16218145776,21092622474,21092622474,0
13,-338229093,0,-338229093,338229093,0
14,17835443871,0,17835443871,22709920569,0
15,0,0,0,0,1
16,0,-338229093,338229093,338229093,0
17,0,-2323258234,2323258234,2323258234,0
18,0,-2437238349,2437238349,2437238349,0
19,0,-180000000000,180000000000,180000000000,0
