stress_edge_id,stress_source_atom,stress_target_atom,assignment_count,signed_tension_sum_scaled,abs_tension_sum_scaled
1,0,19,8,-80000000000,80000000000
26,5,12,4,-16218145776,16218145776
29,5,1,3,2437238349,2437238349
31,6,3,1,338229093,338229093
37,7,9,5,30236915020,30236915020
40,8,19,2,-20000000000,20000000000
44,8,17,1,-2323258234,2323258234
47,9,19,8,-80000000000,80000000000
52,10,11,10,-74652077480,74652077480
55,11,0,2,20000000000,20000000000
64,12,1,6,4874476698,4874476698
66,13,16,1,-338229093,338229093
72,14,18,3,-2437238349,2437238349
74,14,7,5,20272682220,20272682220
