candidate_move_id,block_symbol_0_id,block_symbol_1_id,block_symbol_2_id,block_symbol_3_id,candidate_word_count,same_side_edge_count,positive_side_edge_count,negative_side_edge_count,cross_side_rejected_word_count,clean_move_flag,selected_move_flag,new_target_cut_flux_x1e12,target_cut_flux_reduction_x1e12,new_target_weighted_conductance_x1e12,target_conductance_reduction_x1e12
0,1,4,5,1,1,1,1,0,0,1,0,170940171,29226,732064422,0
1,1,4,5,5,1,1,0,1,0,1,1,170940171,29226,730994152,1070270
2,2,1,4,5,2,2,1,1,1,0,0,170910955,58442,730994152,1070270
3,4,5,1,1,1,1,1,0,0,1,0,170940171,29226,732064422,0
4,4,5,5,1,1,1,0,1,0,1,0,170940171,29226,730994152,1070270
5,5,1,1,5,2,2,1,1,1,0,0,170910955,58442,730994152,1070270
6,5,5,1,1,1,1,0,1,1,0,0,170940171,29226,730994152,1070270
