cut_rank_id,transfer_edge_id,source_state_id,target_state_id,source_side_code,target_side_code,edge_weight,undirected_stationary_flux_x1e12,old_spectral_cut_edge_flag,promoted_transition_flag,promoted_only_transition_flag,target_unpromoted_old_cut_edge_flag,edit_position,source_symbol_id,target_symbol_id,source_word_length,source_word_symbol_0_id,source_word_symbol_1_id,source_word_symbol_2_id,source_word_symbol_3_id,source_word_symbol_4_id,source_word_symbol_5_id,source_word_symbol_6_id,source_word_symbol_7_id,source_word_symbol_8_id,source_word_symbol_9_id,source_word_symbol_10_id,source_word_symbol_11_id,source_word_symbol_12_id,source_word_symbol_13_id,source_word_symbol_14_id,source_word_symbol_15_id,target_word_length,target_word_symbol_0_id,target_word_symbol_1_id,target_word_symbol_2_id,target_word_symbol_3_id,target_word_symbol_4_id,target_word_symbol_5_id,target_word_symbol_6_id,target_word_symbol_7_id,target_word_symbol_8_id,target_word_symbol_9_id,target_word_symbol_10_id,target_word_symbol_11_id,target_word_symbol_12_id,target_word_symbol_13_id,target_word_symbol_14_id,target_word_symbol_15_id
0,2447,797,828,1,-1,1,170969397,1,0,0,1,3,-1,5,12,2,1,4,5,1,1,5,5,2,1,4,5,-1,-1,-1,-1,13,2,1,4,5,5,1,1,5,5,2,1,4,5,-1,-1,-1
1,2459,801,833,1,-1,1,170969397,1,1,0,0,4,1,5,11,2,1,4,5,1,2,5,2,1,4,5,-1,-1,-1,-1,-1,11,2,1,4,5,5,2,5,2,1,4,5,-1,-1,-1,-1,-1
2,2473,805,834,1,-1,1,170969397,1,1,0,0,4,1,5,13,2,1,4,5,1,2,5,2,5,2,1,4,5,-1,-1,-1,13,2,1,4,5,5,2,5,2,5,2,1,4,5,-1,-1,-1
3,2480,812,835,1,-1,1,170969397,1,1,0,0,4,1,5,11,2,1,4,5,1,2,5,5,1,4,5,-1,-1,-1,-1,-1,11,2,1,4,5,5,2,5,5,1,4,5,-1,-1,-1,-1,-1
4,2484,814,836,1,-1,1,170969397,1,1,0,0,4,1,5,12,2,1,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,-1,12,2,1,4,5,5,2,5,5,2,1,4,5,-1,-1,-1,-1
5,2488,815,837,1,-1,1,170969397,1,1,0,0,4,1,5,13,2,1,4,5,1,2,5,5,2,1,4,5,2,-1,-1,-1,13,2,1,4,5,5,2,5,5,2,1,4,5,2,-1,-1,-1
