cut_window_id,transfer_edge_id,endpoint_state_id,endpoint_side_code,window_rank,edit_position,block_symbol_0_id,block_symbol_1_id,block_symbol_2_id,block_symbol_3_id,cut_flux_share_x1e12
0,2447,797,1,2,3,2,1,4,5,21371175
1,2447,797,1,3,3,1,4,5,1,21371175
2,2447,797,1,4,3,4,5,1,1,21371175
3,2447,797,1,5,3,5,1,1,5,21371175
4,2447,828,-1,2,3,2,1,4,5,21371175
5,2447,828,-1,3,3,1,4,5,5,21371174
6,2447,828,-1,4,3,4,5,5,1,21371174
7,2447,828,-1,5,3,5,5,1,1,21371174
