route_id,route_code,source_code,selected_flag,public_artifact_flag,deterministic_flag,finite_integrity_flag,open_source_safe_flag,blocking_flag,deploy_security_claim_flag
0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,0,0
2,2,2,0,0,0,0,1,1,0
