tool_id,singularity_code,tool_code,source_code,public_input_flag,deterministic_flag,integrity_check_flag,rejection_feedback_flag,hardness_claim_flag,open_boundary_flag
0,0,0,0,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0
2,2,2,5,1,1,1,0,0,0
3,3,3,5,0,0,0,0,0,1
4,4,4,0,1,1,1,1,0,0
5,5,5,4,1,1,1,1,0,0
