surface_id,surface_code,input_certified_flag,resolved_flag,open_boundary_flag,proof_gap_count,next_action_code
0,0,1,1,1,0,0
1,1,1,1,1,0,1
2,2,1,1,1,1,2
3,3,1,1,1,1,3
4,4,1,1,0,0,4
5,5,1,1,1,1,5
6,6,1,1,1,1,6
7,7,1,1,0,0,7
8,8,1,1,0,0,8
9,9,1,1,1,1,9
10,10,1,1,1,1,10
11,11,1,1,1,1,11
12,12,1,1,1,1,12
13,13,1,1,1,1,13
14,14,1,1,1,1,14
15,15,1,1,1,1,15
16,16,1,1,1,1,16
17,17,1,1,1,1,17
18,18,1,1,1,1,18
19,19,1,1,1,1,19
20,20,1,1,1,1,20
21,21,1,1,1,1,21
22,22,1,1,1,1,22
23,23,1,1,1,1,23
24,24,1,1,1,0,24
25,25,1,1,0,0,25
26,26,1,1,0,0,26
27,27,1,1,0,0,27
28,28,1,1,0,0,28
