support_size,total_subsets,image_dim_0,image_dim_1,image_dim_2,image_dim_3,image_dim_4,image_dim_5,image_dim_6,image_dim_7,image_dim_8,image_dim_9,image_dim_10,image_dim_11,image_dim_12,image_dim_min,image_dim_max,law_atom_count_min,law_atom_count_max
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,24,0,24,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
2,276,0,0,276,0,0,0,0,0,0,0,0,0,0,2,2,4,4
3,2024,0,0,0,2024,0,0,0,0,0,0,0,0,0,3,3,8,8
4,10626,0,0,0,0,10626,0,0,0,0,0,0,0,0,4,4,16,16
5,42504,0,0,0,0,0,42504,0,0,0,0,0,0,0,5,5,32,32
6,134596,0,0,0,0,0,0,134596,0,0,0,0,0,0,6,6,64,64
7,346104,0,0,0,0,0,0,0,346104,0,0,0,0,0,7,7,128,128
8,735471,0,0,0,0,0,0,0,759,734712,0,0,0,0,7,8,128,256
9,1307504,0,0,0,0,0,0,0,0,12144,1295360,0,0,0,8,9,256,512
10,1961256,0,0,0,0,0,0,0,0,0,91080,1870176,0,0,9,10,512,1024
11,2496144,0,0,0,0,0,0,0,0,0,0,425040,2071104,0,10,11,1024,2048
12,2704156,0,0,0,0,0,0,0,0,0,0,35420,1277696,1391040,10,12,1024,4096
13,2496144,0,0,0,0,0,0,0,0,0,0,0,425040,2071104,11,12,2048,4096
14,1961256,0,0,0,0,0,0,0,0,0,0,0,91080,1870176,11,12,2048,4096
15,1307504,0,0,0,0,0,0,0,0,0,0,0,12144,1295360,11,12,2048,4096
16,735471,0,0,0,0,0,0,0,0,0,0,0,759,734712,11,12,2048,4096
17,346104,0,0,0,0,0,0,0,0,0,0,0,0,346104,12,12,4096,4096
18,134596,0,0,0,0,0,0,0,0,0,0,0,0,134596,12,12,4096,4096
19,42504,0,0,0,0,0,0,0,0,0,0,0,0,42504,12,12,4096,4096
20,10626,0,0,0,0,0,0,0,0,0,0,0,0,10626,12,12,4096,4096
21,2024,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,12,4096,4096
22,276,0,0,0,0,0,0,0,0,0,0,0,0,276,12,12,4096,4096
23,24,0,0,0,0,0,0,0,0,0,0,0,0,24,12,12,4096,4096
24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,4096,4096
