shell,shell_blocks,n11,n10,n01,n00,gap_degree,odd_terms_after_A_u_plus_v_B_u_minus_v,P0_divisible_by_u_minus_1_squared,Q0_degree,Q0_coefficients_nonnegative,Q0_coeff_min,Q0_coeff_max,R_degree,R_coefficients_nonnegative,R_coeff_min,R_coeff_max,certified,Q0_coefficients_ascending
12,2576,616,672,672,616,12,0,True,10,True,164864,174347199488,10,True,164864,277028505600,True,174347199488 91851999232 50946438144 10040877056 5341923328 642969600 332695552 22421504 11375616 329728 164864
16,759,330,176,176,77,16,0,True,14,True,194304,33174988822272,14,True,194304,66616335869952,True,33174988822272 27603467054592 15998573800704 4393680546816 2426986172160 460291797504 245997219072 31702640640 16544402688 1386164736 710569728 34974720 17681664 388608 194304
