owner_rank,basis_id,weak_class_code,owner_cell_count,graph_degree,weighted_degree,bridge_touch_count,gate_touch_count,component_id,induced_degree
0,1,11,5280,5,284,1,1,0,1
1,7,11,96023,4,864,1,1,0,0
2,19,11,2760,6,296,1,1,0,1
3,32,11,8896,6,342,1,1,0,2
4,44,11,2860,9,218,1,1,0,0
5,63,11,55708,5,1542,5,2,0,1
6,83,11,55708,3,1542,2,2,0,2
7,126,11,175920,5,1706,4,2,0,2
8,146,11,3260,8,366,1,1,0,1
9,148,11,121678,5,1632,5,2,0,2
10,190,12,197910,5,1736,2,2,0,0
