bridge_id,gate_id,p5_id,f4_row_id,face_id,label_mask,pair_role_code,source0_addr,source1_addr,sample_output_addr,frontier_addr,closure_slack,owner_basis_id,owner_target_addr,owner_weak_class_code,component_id,output_in_closure_flag,eta6_preserved_flag,owner_cell_count,graph_degree,weighted_degree
0,0,1,0,12,30,0,167,241,171,139,32,63,139,11,0,1,1,55708,5,1542
1,0,1,0,12,30,1,171,435,183,139,44,63,139,11,0,1,1,55708,5,1542
2,0,1,0,12,30,2,241,435,263,215,48,83,215,11,0,1,1,55708,3,1542
3,0,1,0,12,30,3,167,263,183,139,44,63,139,11,0,1,1,55708,5,1542
4,1,47,23,12,30,0,581,327,573,531,42,148,531,11,0,1,1,121678,5,1632
5,1,47,23,12,30,1,573,223,561,531,30,148,531,11,0,1,1,121678,5,1632
6,1,47,23,12,30,2,327,223,315,291,24,126,291,11,0,1,1,175920,5,1706
7,1,47,23,12,30,3,581,315,561,531,30,148,531,11,0,1,1,121678,5,1632
8,2,57,28,22,45,0,107,753,46,45,1,19,45,11,0,1,1,2760,6,296
9,2,57,28,22,45,1,46,241,53,0,53,7,0,11,0,1,1,96023,4,864
10,2,57,28,22,45,2,753,241,773,701,72,190,701,12,0,1,1,197910,5,1736
11,2,57,28,22,45,3,107,773,56,53,3,32,53,11,0,1,1,8896,6,342
12,3,79,39,22,45,0,327,271,467,291,176,126,291,11,0,1,1,175920,5,1706
13,3,79,39,22,45,1,467,701,291,291,0,126,291,11,0,1,1,175920,5,1706
14,3,79,39,22,45,2,271,701,215,215,0,83,215,11,0,1,1,55708,3,1542
15,3,79,39,22,45,3,327,215,291,291,0,126,291,11,0,1,1,175920,5,1706
16,4,110,55,26,51,0,139,107,198,139,59,63,139,11,0,1,1,55708,5,1542
17,4,110,55,26,51,1,198,837,184,183,1,44,183,11,0,1,1,2860,9,218
18,4,110,55,26,51,2,107,837,79,77,2,1,77,11,0,1,1,5280,5,284
19,4,110,55,26,51,3,139,79,184,139,45,63,139,11,0,1,1,55708,5,1542
20,5,128,64,26,51,0,657,701,532,531,1,148,531,11,0,1,1,121678,5,1632
21,5,128,64,26,51,1,532,33,562,531,31,148,531,11,0,1,1,121678,5,1632
22,5,128,64,26,51,2,701,33,737,701,36,190,701,12,0,1,1,197910,5,1736
23,5,128,64,26,51,3,657,737,561,561,0,146,561,11,0,1,1,3260,8,366
