gate_id,p5_id,f4_row_id,face_id,label_mask,f4_delta,support_spread,eta6_preserved_flag,projected_owner_count,closure_pass_count,span_min_distance,span_max_distance,span_distance_sum,closure_slack_min,closure_slack_max,closure_slack_sum
0,1,0,12,30,65088,99844352,1,2,4,0,1,3,32,48,168
1,47,23,12,30,-65088,99844352,1,2,4,0,1,3,24,42,126
2,57,28,22,45,-532224,290607104,1,4,4,1,9,32,1,72,129
3,79,39,22,45,532224,290607104,1,2,4,0,1,3,0,176,176
4,110,55,26,51,-44896,12400896,1,3,4,0,5,21,1,59,107
5,128,64,26,51,44896,12400896,1,3,4,0,3,9,0,36,68
