trial,active_energy_share_vs_A6,Rhat_share_vs_Rhat
0,0.40331820114270406,3.393073883788953
1,0.48430749604923257,0.5671287523324505
2,0.07987622230256886,0.014546558896890457
3,0.019662190828758856,3.016703571447594e-06
4,0.0031563164472111884,0.0009214459376880709
5,0.2534806507776935,0.46898169602510653
6,0.022746288487979747,0.011720075766532273
7,0.0171081252600405,3.7371008883257755e-05
8,0.7520578203945016,1.2689333072875382
9,0.0053518646468886715,0.005184930298093425
10,0.2793049179299241,0.9744293635535755
11,0.08406901519662845,0.03094281263583955
12,0.003343585249256997,0.007786976067769425
13,0.409089053270269,2.16617848080547
14,0.20750506911860434,0.0034091045524769475
15,0.12413235352736336,7.328228658401702e-06
16,0.23617804015074645,1.538641713699971
17,0.012295854634254305,0.018447550632685064
18,0.18140109908006,0.4354363238545891
19,0.0001094915779014665,8.378986789855269e-08
20,0.0430678221725509,0.00030814139564261324
21,0.0026330505723761674,8.616635276722867e-05
22,0.013681431201471373,0.00043459910544421285
23,0.000977318757160627,5.898777042302299e-06
24,0.013060116629555979,0.00984390717270484
25,0.03289196525288563,0.008955095327133377
26,0.5491153644157205,0.4181790476286102
27,0.0950703589249246,0.00931715063388917
28,0.1672714608247287,0.0016657985264169966
29,0.015271452112111977,0.0031009720306859135
30,0.008416795767422852,0.0008307444465085269
31,0.019087912726634473,0.0010675849467844862
32,0.003294546996013328,0.001053546271223336
33,0.05213415828919772,0.008496810085213446
34,0.015426266593114654,0.1198891957128032
35,0.102124621383501,0.0005853424208840912
36,0.29792206548685857,0.03571848684301099
37,0.1472622878553959,3.986056326601946e-05
38,0.18605573176606638,0.16826771314492459
39,2.5979515907430115e-07,3.6936059087451814e-08
40,0.0006048165174327557,0.0002251631890637655
41,0.012131924507295845,0.00037258194537638544
42,0.09624718133903552,0.053169463287014926
43,2.0373782576140524e-05,1.0084124116974401e-06
44,0.10371195591086772,0.0023947344487155685
45,0.10169198347399604,0.3908602204504836
46,0.0017425941474410907,5.1059109803942957e-05
47,1.512929921293364e-05,9.641183112646339e-07
48,0.011601386463673011,0.007074107909134037
49,0.06171119958115957,0.011961143764153173
50,0.4285532835720392,0.05592099696352993
51,0.02079647118869783,0.0002209642827241942
52,0.37003122502700037,0.009344610342800982
53,0.2674876392005477,0.5902345601332537
54,0.07767531301484865,0.16336574710096877
55,0.18724516482526737,0.04441492259663412
56,0.0007144709841082721,0.0029866293292883797
57,0.08943755955739636,0.6113147057532361
58,0.34162198100333907,1.647719226563151
59,0.022787743038127115,0.002290973781978592
60,0.4151900734975543,0.07223106123402297
61,0.001843589862549892,2.102597297702865e-06
62,0.14762765891493898,0.03896609408560023
63,0.06868867440563155,0.006029445888591225
64,0.004382791865670378,3.5187207664730997e-06
65,0.0009518761833448142,0.00016858247656744663
66,0.0015404405576583734,0.000952978750610237
67,0.05253031795268681,0.0009465113882528877
68,0.0014129189324152162,0.0038175545780555716
69,0.05586058257509963,0.02336063855845091
70,0.17586937753390788,0.36519348757187753
71,0.026418420940325222,0.02929061827061373
72,0.936671677244811,1.7589366227986016
73,0.09195216536157516,0.6949467086489269
74,0.4758101916477811,0.9123956494403862
75,0.007838316670929593,0.00014979189399441303
76,0.5788312587783679,0.04222906869584059
77,0.03189114904546233,0.01516373538877507
78,0.0471335161178114,0.00014652102201670813
79,0.06996478016616475,0.014696466679558456
80,0.38498266793967595,0.8253809867224767
81,0.39910000465264744,0.2194562614072998
82,0.03519669797108846,0.0015751481756931306
83,0.6517214257693695,0.035640598872174634
84,0.29544004709666083,0.0033599097859968712
85,0.06677233602434467,0.0011459674258722918
86,0.02865443008531268,2.250330082079897e-05
87,0.011727705635751472,0.0032020717026714305
88,0.08305023721108017,0.012923465349068058
89,0.007229411874744992,1.9651268656465358e-07
90,0.006899391771442556,8.175155007022853e-06
91,0.5370346643161049,0.43499513828120534
92,0.7226584996916865,3.537121404836561
93,0.23974553126844605,5.286709092889026e-05
94,0.004062091326588226,3.524151365955277e-05
95,0.012190119565215811,1.61995724645652e-07
96,0.1003269778991448,0.0002974568723575908
97,0.46719120808006526,0.9397677182286951
98,0.29768127733827043,0.5340286857183011
99,0.23255126087798805,0.48105582102388744
100,0.10712012309739957,0.025352559853798504
101,0.1781325787806768,0.5199310673338668
102,0.07201186976060343,0.0045152743064279955
103,0.040310482576393074,0.010507608428616519
104,0.055052617256903656,9.5020366372285e-05
105,0.6659025166073399,3.154770888993985
106,0.2625861847325845,0.07816586092357795
107,0.13246420667378916,4.804304627226498e-06
108,0.23611446084509632,0.5186010354327872
109,0.09291565046303413,0.6503652974387035
110,0.2720024537033224,0.054595689893372275
111,0.3488894687976713,0.0017375419773604725
112,0.339473191583438,0.16812261565760844
113,0.02488339918953104,0.02214066791285801
114,0.07567442254941598,0.020958081914324012
115,6.737234350159531e-05,5.293917787086617e-07
116,0.015299304618384468,0.021376621296757714
117,0.7058980367200841,1.8788745135306888
118,0.11233222900739685,0.4759414495998236
119,0.17446530582616898,0.010372733648882287
120,0.0011721432576711679,0.0004621254130400899
121,0.08551630688783494,4.248116927423583e-06
122,0.580752210883338,0.3574781344348403
123,0.04999718888205364,0.005419261875946164
124,1.5007429343613361e-05,3.297590462633073e-08
125,0.0467558553779868,0.013249037502980215
126,0.13990316554751353,1.2170922621585722e-05
127,0.013373002403757403,0.1026189807365546
128,0.15555816170099485,1.1510456134270208
129,0.11212615929077403,0.0036935992601883167
