field_id,field_code,direction_code,source_code,required_flag,public_flag,one_byte_flag,row_count
0,0,0,1,1,1,1,256
1,1,0,5,1,1,0,1
2,2,0,5,1,1,0,2
3,3,1,1,1,1,0,56
4,4,1,1,1,1,0,56
5,5,1,1,1,1,0,56
6,6,1,1,1,1,0,56
7,7,1,1,1,1,0,200
8,8,2,2,1,1,0,56
9,9,2,2,1,1,0,56
