shell_weight,support_size,total_supports,max_shell_words_contained,bound,margin,ratio,example_support_mask,example_support_one_based
8,0,1,0,0.0,0.0,1.0,0,
8,1,24,0,0.0022876880787037032,0.0022876880787037032,0.0,1,1
8,7,346104,0,5.4927390769675934,5.4927390769675934,0.0,127,1 2 3 4 5 6 7
8,8,735471,1,9.370370370370368,8.370370370370368,0.10671936758893283,255,1 2 3 4 5 6 7 8
8,12,2704156,3,47.4375,44.4375,0.06324110671936758,4095,1 2 3 4 5 6 7 8 9 10 11 12
8,16,735471,30,149.9259259259259,119.9259259259259,0.20009881422924905,65535,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
8,23,24,506,640.1889196325233,134.18891963252327,0.7903916867078089,8388607,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
8,24,1,759,759.0,0.0,1.0,16777215,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
12,0,1,0,0.0,0.0,1.0,0,
12,1,24,0,1.3479643561385455e-05,1.3479643561385455e-05,0.0,1,1
12,7,346104,0,1.5858665853534386,1.5858665853534386,0.0,127,1 2 3 4 5 6 7
12,8,735471,0,3.5336076817558286,3.5336076817558286,0.0,255,1 2 3 4 5 6 7 8
12,12,2704156,1,40.25,39.25,0.024844720496894408,204095,1 2 3 4 5 6 9 11 12 13 17 18
12,16,735471,2,226.15089163237303,224.15089163237303,0.008843652950310562,212991,1 2 3 4 5 6 7 8 9 10 11 12 13 14 17 18
12,23,24,1288,1995.4710180128232,707.4710180128232,0.6454616420751861,8388607,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
12,24,1,2576,2576.0,0.0,1.0,16777215,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
16,0,1,0,0.0,0.0,1.0,0,
16,1,24,0,6.895278979503347e-09,6.895278979503347e-09,0.0,1,1
16,7,346104,0,0.039749911156319914,0.039749911156319914,0.0,127,1 2 3 4 5 6 7
16,8,735471,0,0.11568358481938723,0.11568358481938723,0.0,255,1 2 3 4 5 6 7 8
16,12,2704156,0,2.96484375,2.96484375,0.0,4095,1 2 3 4 5 6 7 8 9 10 11 12
16,16,735471,1,29.61499771376313,28.61499771376313,0.03376667490118579,65535,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
16,23,24,253,539.9760906722757,286.97609067227575,0.46853926381261146,8388607,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
16,24,1,759,759.0,0.0,1.0,16777215,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
24,0,1,0,0.0,0.0,1.0,0,
24,1,24,0,2.738199579702515e-17,2.738199579702515e-17,0.0,1,1
24,7,346104,0,3.790020679632005e-07,3.790020679632005e-07,0.0,127,1 2 3 4 5 6 7
24,8,735471,0,1.8816764231589195e-06,1.8816764231589195e-06,0.0,255,1 2 3 4 5 6 7 8
24,12,2704156,0,0.000244140625,0.000244140625,0.0,4095,1 2 3 4 5 6 7 8 9 10 11 12
24,16,735471,0,0.007707346629258934,0.007707346629258934,0.0,65535,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
24,23,24,0,0.6000661540909658,0.6000661540909658,0.0,8388607,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
24,24,1,1,1.0,0.0,1.0,16777215,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
