relation_id,visible_index,transition_id,left_basis_id,right_basis_id,left_raw_row_id,right_raw_row_id,normal_form_delta_t,guarded_relation_semantic_flag,semantic_operation_flag,physical_transition_flag
0,0,65,23,22,139655,148918,1,1,0,0
1,1,43,14,21,115813,123775,1,1,0,0
2,1,37,22,12,143348,139655,1,1,0,0
3,1,63,22,21,123775,139655,1,1,0,0
4,2,65,22,23,139655,148918,1,1,0,0
5,3,35,12,15,143348,148575,1,1,0,0
6,3,37,12,22,143348,139655,1,1,0,0
7,3,40,19,13,31777,41881,1,1,0,0
8,3,63,21,22,123775,139655,1,1,0,0
9,4,12,11,4,30756,30348,1,1,0,0
10,5,5,1,20,97924,97228,1,1,0,0
11,5,13,13,4,30756,31777,1,1,0,0
12,5,39,13,18,31777,34767,1,1,0,0
13,5,26,22,8,141280,139655,1,1,0,0
14,6,49,16,24,179440,203295,1,1,0,0
15,7,10,8,3,141458,141280,1,1,0,0
16,7,15,8,5,99770,141280,1,1,0,0
17,7,24,8,14,141280,115813,1,1,0,0
18,7,39,13,18,31777,34767,1,1,0,0
19,7,17,20,5,99770,97228,1,1,0,0
20,7,42,20,14,115813,97228,1,1,0,0
21,8,49,24,16,179440,203295,1,1,0,0
22,9,16,5,14,99770,115813,1,1,0,0
23,9,16,14,5,99770,115813,1,1,0,0
24,9,53,18,19,34767,41881,1,1,0,0
25,9,17,20,5,99770,97228,1,1,0,0
26,9,42,20,14,115813,97228,1,1,0,0
27,10,19,16,6,145625,179440,1,1,0,0
28,10,49,16,24,179440,203295,1,1,0,0
29,11,4,5,1,97924,99770,1,1,0,0
30,11,44,14,22,115813,139655,1,1,0,0
31,11,40,19,13,31777,41881,1,1,0,0
32,12,13,4,13,30756,31777,1,1,0,0
33,13,0,1,0,141323,97924,1,1,0,0
34,13,3,1,2,97924,141326,1,1,0,0
35,13,38,13,17,31777,31536,1,1,0,0
36,13,40,19,13,31777,41881,1,1,0,0
37,13,26,22,8,141280,139655,1,1,0,0
38,14,21,10,7,543,798,1,1,0,0
39,14,13,13,4,30756,31777,1,1,0,0
40,15,21,10,7,543,798,1,1,0,0
41,15,13,13,4,30756,31777,1,1,0,0
42,15,39,13,18,31777,34767,1,1,0,0
43,15,38,17,13,31777,31536,1,1,0,0
44,15,50,17,18,31536,34767,1,1,0,0
45,16,9,6,3,141458,145625,1,1,0,0
46,17,39,13,18,31777,34767,1,1,0,0
47,17,17,20,5,99770,97228,1,1,0,0
48,17,42,20,14,115813,97228,1,1,0,0
49,18,1,0,2,141323,141326,1,1,0,0
50,18,1,2,0,141323,141326,1,1,0,0
51,18,2,3,0,141323,141458,1,1,0,0
52,18,7,3,2,141326,141458,1,1,0,0
53,19,16,5,14,99770,115813,1,1,0,0
54,19,16,14,5,99770,115813,1,1,0,0
55,19,44,14,22,115813,139655,1,1,0,0
56,19,53,18,19,34767,41881,1,1,0,0
57,19,17,20,5,99770,97228,1,1,0,0
58,19,42,20,14,115813,97228,1,1,0,0
