class_id,representative_index,class_size,inverse_class,identity_class_flag
0,0,1,0,1
1,1,72,1,0
2,2,768,2,0
3,4,72,3,0
4,5,144,4,0
5,7,576,5,0
6,8,128,6,0
7,9,768,7,0
8,16,768,8,0
9,18,768,9,0
10,22,24,10,0
11,43,288,11,0
12,49,72,12,0
13,54,384,13,0
14,62,256,14,0
15,97,768,15,0
16,120,288,16,0
17,135,72,17,0
18,219,384,18,0
19,225,128,19,0
20,255,288,20,0
21,279,288,21,0
22,287,288,22,0
23,289,288,23,0
24,319,12,24,0
25,345,6,25,0
26,484,288,26,0
27,510,96,27,0
28,527,72,28,0
29,576,144,29,0
30,709,72,30,0
31,1093,144,31,0
32,1097,72,32,0
33,1150,36,33,0
34,1297,9,34,0
35,1424,36,35,0
36,2223,24,36,0
37,2224,96,37,0
38,2288,144,38,0
39,4064,12,39,0
40,6640,72,40,0
