rank,p13_id,seed_rank,seed_p11_id,extension_p5,p5_a,p5_b,p5_c,p5_d,p5_e,p5_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p12_floor_flag,below_p11_floor_flag,below_p8_floor_flag,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag,joint_mult_value
0,762,24,143959038,2,2,8,52,56,116,141,12,12,22,22,26,26,30,30,45,45,51,51,0,0,800182240,800254272,800511296,793818752,801801344,793818752,801801344,7982592,1,0,0,0,1,1,0,5567938560
1,4232,25,353188799,34,30,34,78,90,109,122,12,12,22,22,26,26,30,30,45,45,51,51,0,0,800254272,800182240,793818752,800511296,801801344,793818752,801801344,7982592,1,0,0,0,1,1,0,4091019264
2,962,8,18405934,12,4,12,16,25,43,142,12,12,12,12,12,26,30,30,30,30,30,51,0,0,329079232,330544832,333424256,329582400,337561024,329079232,337561024,8481792,1,0,0,0,1,1,0,3777232896
3,1288,9,68320763,44,5,38,41,42,44,96,12,12,12,12,12,26,30,30,30,30,30,51,0,0,330544832,329079232,329582400,333424256,337561024,329079232,337561024,8481792,1,0,0,0,1,1,0,3587309568
4,1113,12,143110026,32,4,19,32,56,125,138,12,12,12,22,26,26,30,30,30,45,51,51,0,0,796182720,793192928,801805824,801750656,800677632,793192928,801805824,8612896,1,0,0,0,1,1,0,5313134592
5,2534,13,280149086,14,11,14,42,78,100,133,12,12,12,22,26,26,30,30,30,45,51,51,0,0,793192928,796182720,801750656,801805824,800677632,793192928,801805824,8612896,1,0,0,0,1,1,0,5309595648
6,317,14,6866098,34,0,6,18,34,110,142,12,12,12,12,26,26,30,30,30,30,51,51,0,0,210212928,210560384,201890432,209798016,210229120,201890432,210560384,8669952,1,0,0,0,1,1,0,3170893824
7,765,15,91453879,2,2,10,22,46,96,128,12,12,12,12,26,26,30,30,30,30,51,51,0,0,210560384,210212928,209798016,201890432,210229120,201890432,210560384,8669952,1,0,0,0,1,1,0,3006922752
8,1973,2,100862588,14,8,14,19,48,78,133,12,12,12,22,22,26,30,30,30,45,45,51,0,0,799354176,803121536,808108928,808429824,807677568,799354176,808429824,9075648,1,0,0,0,1,1,0,5784993792
9,2575,3,144380930,32,11,30,32,56,94,125,12,12,12,22,22,26,30,30,30,45,45,51,0,0,803121536,799354176,808429824,808108928,807677568,799354176,808429824,9075648,1,0,0,0,1,1,0,4742184960
10,779,6,383433525,2,2,18,22,96,106,110,12,12,12,26,26,26,30,30,30,51,51,51,0,0,210499936,209596608,212648576,203387904,212834176,203387904,212834176,9446272,1,0,0,0,1,1,0,3227516928
11,1558,7,451862087,34,6,10,34,114,128,142,12,12,12,26,26,26,30,30,30,51,51,51,0,0,209596608,210499936,203387904,212648576,212834176,203387904,212834176,9446272,1,0,0,0,1,1,0,3170893824
12,967,8,18405934,14,4,14,16,25,43,142,12,12,12,12,12,26,30,30,30,30,30,51,0,0,322252224,328367808,331569024,331738048,329658560,322252224,331738048,9485824,1,0,0,0,1,1,0,3777232896
13,1279,9,68320763,32,5,32,38,41,42,96,12,12,12,12,12,26,30,30,30,30,30,51,0,0,328367808,322252224,331738048,331569024,329658560,322252224,331738048,9485824,1,0,0,0,1,1,0,3449290752
14,999,8,18405934,44,4,16,25,43,44,142,12,12,12,12,12,26,30,30,30,30,30,51,0,0,330566080,329057984,328063232,334943424,337561024,328063232,337561024,9497792,1,0,0,0,1,1,0,3802005504
15,1247,9,68320763,12,5,12,38,41,42,96,12,12,12,12,12,26,30,30,30,30,30,51,0,0,329057984,330566080,334943424,328063232,337561024,328063232,337561024,9497792,1,0,0,0,1,1,0,3562536960
16,327,14,6866098,44,0,6,18,44,110,142,12,12,12,12,26,26,30,30,30,30,51,51,0,0,210334272,207357184,209469952,212532352,216895360,207357184,216895360,9538176,1,0,0,0,1,1,0,3308912640
17,2259,15,91453879,12,10,12,22,46,96,128,12,12,12,12,26,26,30,30,30,30,51,51,0,0,207357184,210334272,212532352,209469952,216895360,207357184,216895360,9538176,1,0,0,0,1,1,0,2950299648
18,910,29,462516420,2,2,45,56,118,122,126,12,12,22,26,26,26,30,30,45,51,51,51,0,0,310140064,308826880,312121472,303810688,313392128,303810688,313392128,9581440,1,0,0,0,1,1,0,3484680192
19,2840,28,410672751,34,13,34,78,102,104,116,12,12,22,26,26,26,30,30,45,51,51,51,0,0,308826880,310140064,303810688,312121472,313392128,303810688,313392128,9581440,1,0,0,0,1,1,0,3793747968
20,29,21,41260117,14,0,2,14,34,40,46,12,12,12,12,12,12,30,30,30,30,30,30,1,1,135631232,139489536,145234176,142109696,142584576,135631232,145234176,9602944,1,0,0,0,1,1,0,2767454208
21,55,20,15777042,32,0,2,24,32,34,46,12,12,12,12,12,12,30,30,30,30,30,30,1,1,139489536,135631232,142109696,145234176,142584576,135631232,145234176,9602944,1,0,0,0,1,1,0,2516189184
22,3485,30,26663223,128,20,27,28,94,108,128,12,12,12,22,26,26,30,30,30,45,51,51,0,0,323906336,321939136,324724864,331543296,329136640,321939136,331543296,9604160,1,0,0,0,1,1,0,3392667648
23,3593,31,50994813,110,21,26,36,48,110,140,12,12,12,22,26,26,30,30,30,45,51,51,0,0,321939136,323906336,331543296,324724864,329136640,321939136,331543296,9604160,1,0,0,0,1,1,0,4073324544
24,295,14,6866098,12,0,6,12,18,110,142,12,12,12,12,26,26,30,30,30,30,51,51,0,0,208847424,208844032,214830976,207171328,216895360,207171328,216895360,9724032,1,0,0,0,1,1,0,3284140032
25,2425,15,91453879,44,10,22,44,46,96,128,12,12,12,12,26,26,30,30,30,30,51,51,0,0,208844032,208847424,207171328,214830976,216895360,207171328,216895360,9724032,1,0,0,0,1,1,0,2975072256
26,1689,22,433391402,32,6,12,32,108,128,140,12,12,12,26,26,26,30,30,30,51,51,51,0,0,203272672,196726432,206473600,204947584,205810944,196726432,206473600,9747168,1,0,0,0,1,1,0,3114270720
27,2961,23,434290619,14,14,22,44,108,110,140,12,12,12,26,26,26,30,30,30,51,51,51,0,0,196726432,203272672,204947584,206473600,205810944,196726432,206473600,9747168,1,0,0,0,1,1,0,3346661376
28,1702,22,433391402,44,6,12,44,108,128,140,12,12,12,26,26,26,30,30,30,51,51,51,0,0,205449696,203553440,204317952,206802816,213713408,203553440,213713408,10159968,1,0,0,0,1,1,0,3252289536
29,2804,23,434290619,12,12,22,44,108,110,140,12,12,12,26,26,26,30,30,30,51,51,51,0,0,203553440,205449696,206802816,204317952,213713408,203553440,213713408,10159968,1,0,0,0,1,1,0,3346661376
30,1125,12,143110026,44,4,19,44,56,125,138,12,12,12,22,26,26,30,30,30,45,51,51,0,0,798359744,800019936,799650176,803605888,808580096,798359744,808580096,10220352,1,0,0,0,1,1,0,5451153408
31,2528,13,280149086,12,11,12,42,78,100,133,12,12,12,22,26,26,30,30,30,45,51,51,0,0,800019936,798359744,803605888,799650176,808580096,798359744,808580096,10220352,1,0,0,0,1,1,0,5309595648
