sample_count,epsilon_id,eps_num,eps_den,tail_num,tail_den,bound_num,bound_den,gap_num,gap_den,tail_num_digits,tail_den_digits,tail_num_mod_1000000007,tail_den_mod_1000000007,tail_num_mod_1000000009,tail_den_mod_1000000009,tail_sha256,bound_num_digits,bound_den_digits,bound_num_mod_1000000007,bound_den_mod_1000000007,bound_num_mod_1000000009,bound_den_mod_1000000009,bound_sha256,gap_num_digits,gap_den_digits,gap_num_mod_1000000007,gap_den_mod_1000000007,gap_num_mod_1000000009,gap_den_mod_1000000009,gap_sha256,gap_nonnegative_flag
1,0,1,2,155,191,998699,328329,732254,328329,3,3,155,191,155,191,ea1d06608cb2fafe4377f8813f04b029166f5b51b4a760e34264b20e52a0901b,6,6,998699,328329,998699,328329,bdf2f243f2355272d90c21954ca4b807da1b186f6dd79c087544305f40eb4aa2,6,6,732254,328329,732254,328329,16f20d3d7bf3f66ea0a2d43987ca8a85d0b23a186b51904f60152567e6026a46,1
1,1,1,3,155,191,998699,145924,880279,145924,3,3,155,191,155,191,ea1d06608cb2fafe4377f8813f04b029166f5b51b4a760e34264b20e52a0901b,6,6,998699,145924,998699,145924,b3b59a2760a0652a3f2ce60bfc02f55f61c67d2810216f387896efeb673c8a58,6,6,880279,145924,880279,145924,87ae38444f6660f37a8051c4ac4afefe0215cc57167067d1f01ca10cb52d6b8d,1
1,2,1,4,155,191,3994796,328329,3728351,328329,3,3,155,191,155,191,ea1d06608cb2fafe4377f8813f04b029166f5b51b4a760e34264b20e52a0901b,7,6,3994796,328329,3994796,328329,1b1e7882d0f4933d580effe2d09061a292c41370f3996cf3df1fde0ab891087a,7,6,3728351,328329,3728351,328329,8f91134d850ad6f54b208642b6dba17e0eb9c8785e4d940ded613b4029363271,1
2,0,1,2,1099116846040039946569564199913518896000006445447706834071257019908109150637533339227834831571707051553812092819235056998242046653020692959911577714523069114094392561049086185360916064542938600811708735087711525741596646232598637500017424671269889251650996163,1579260688253584598003870632784074972765464001355696700327498380584562309441136066919160659801360476147229638303192499104546621439928944222336585758420103419753011315378904983382279482990175171700596492634255326990726727242314640926490795485648701831268838048,196071870716445595974607840009600430154958551793975421266539702101841212845527777276127660975084535835062116597206341618377250954943326939408282375215441840718891556373968133017355541608069414047917186629185434500098888238572116215755217208891289099620392154159,75409697864108664554684822715439579949550906064734517440638047672912850275814247195389921505514962736030215228977441832242101173756607086616571969964559938293206290309342712956503845312780864448703482523285691863807201225820524104239935484439725512443087016792,574356165272134754103644597854919611483832976095389679758548717604916003610342241311994191070142096493470356660351470586844772909046355402290018157387861162083537246335497070665487198104576383436632378114988836583750593523862125100517540723352607551416228349503,301638791456434658218739290861758319798203624258938069762552190691651401103256988781559686022059850944120860915909767328968404695026428346466287879858239753172825161237370851826015381251123457794813930093142767455228804903282096416959741937758902049772348067168,259,259,155828365,957550923,672232922,883399135,ae155b26a9c8790f0a0fce6b87e6d69ecaecaf9e3e9751012935fc5db92fca77,261,260,786931315,973056260,840140140,932308325,ad1a82872bcb3e3550dac8b178e88248e9f90f5fb6e4cccf626009324c847d53,261,261,384507734,892225019,964073592,729233273,34caf32eadad30fd2763a2aca2fb7a9cba6c8376d682358b88420e610fe78f83,1
2,1,1,3,1099116846040039946569564199913518896000006445447706834071257019908109150637533339227834831571707051553812092819235056998242046653020692959911577714523069114094392561049086185360916064542938600811708735087711525741596646232598637500017424671269889251650996163,1579260688253584598003870632784074972765464001355696700327498380584562309441136066919160659801360476147229638303192499104546621439928944222336585758420103419753011315378904983382279482990175171700596492634255326990726727242314640926490795485648701831268838048,196071870716445595974607840009600430154958551793975421266539702101841212845527777276127660975084535835062116597206341618377250954943326939408282375215441840718891556373968133017355541608069414047917186629185434500098888238572116215755217208891289099620392154159,33515421272937184246526587873528702199800402695437563306950243410183489011472998753506631780228872327124540101767751925440933855002936482940698653317582194796980573470818983536223931250124828643868214454793640828358756100364677379662193548639878005530260896352,777357759427181366988341898951460881129312867532633393045623614057061033918990563846316247972782387834390469823191589339365513841881495049665715016732535182838997514102668867876132453072461726838109155630458004542122517358361353089646813383904526524759094560149,150819395728217329109369645430879159899101812129469034881276095345825700551628494390779843011029925472060430457954883664484202347513214173233143939929119876586412580618685425913007690625561728897406965046571383727614402451641048208479870968879451024886174033584,259,259,155828365,957550923,672232922,883399135,ae155b26a9c8790f0a0fce6b87e6d69ecaecaf9e3e9751012935fc5db92fca77,261,260,786931315,321358337,840140140,858803704,b4de46582eeb9fc75dfe5e8f84ddc6d1dea8529e5bde45e903d1b81bfa4f65ce,261,261,659582144,946112513,582387128,864616641,cf782174f03fd4eee77b9762f60023453652259f7e9442b993da59afb15e7b22,1
2,2,1,4,1268413339624367612478637274878711104703994587399288652828548858653408999658534318534777392274004368709440478867238990234295856661791970279666380667743734473013560688968169194703055117431796996964849203096905824013070369408643262079274082272423903599343946043,1579260688253584598003870632784074972765464001355696700327498380584562309441136066919160659801360476147229638303192499104546621439928944222336585758420103419753011315378904983382279482990175171700596492634255326990726727242314640926490795485648701831268838048,196071870716445595974607840009600430154958551793975421266539702101841212845527777276127660975084535835062116597206341618377250954943326939408282375215441840718891556373968133017355541608069414047917186629185434500098888238572116215755217208891289099620392154159,18852424466027166138671205678859894987387726516183629360159511918228212568953561798847480376378740684007553807244360458060525293439151771654142992491139984573301572577335678239125961328195216112175870630821422965951800306455131026059983871109931378110771754198,2894882983594875321610305720651773061480873862510342607574382401626658286593664381577900093677017738937490734091658818759285506656690964707116239295908016167156674810390569812089405138299637398346388788275457939615085771260102996394942125628227660006451580772331,301638791456434658218739290861758319798203624258938069762552190691651401103256988781559686022059850944120860915909767328968404695026428346466287879858239753172825161237370851826015381251123457794813930093142767455228804903282096416959741937758902049772348067168,259,259,428834281,957550923,419523672,883399135,0c2115160b71ecb60589bcd017d48f0c84a8379d1e257b54c5c6305dbc01ad8d,261,260,786931315,243264065,840140140,983077088,95c2ecd943e946e0cefc6bae3facc4e1404b129bb6f64d9ef53db98277e433d5,262,261,683553859,892225019,313221491,729233273,d5239db359df22fcc4950a199e77211096ae910ea739dc55556fec32e50855d1,1
3,0,1,2,2284272879850465312695742258798369095085415721499917996834721141465704258485549222568609024447682560668058501093652278711142475735383913624183330914553200772639122766696559815625750477830939491124383281383919649253434346274024051671729981123237103698733370073249442354857457101781546572127133522719993405995868653510217084309701719750274259453518046206070212746088130961394265432281505315669440764404279462959536526552048248425645010675511270181192538362931963433041963406480802395324348736760679902969254826324958531849,3472621121964114076679381497028825737298941708216809463642139897760073417793477163581306023442173883091879686563019787644039900948566946040298743869837296493801900821495408996556879847044962791936174026157553691874987930814705810605549298534448481592305421478321275597852937362787210271664656960991910952442109340374033572345792719782025248257352378058064268574680525892932805532670242519492747045415091575884741721225964006820446212412962166782001796481293458004551310876752961971748645162471878866616483177785713523712,144124879152884900249890663320042919920388927721375321038118786446257230570511461487582727885139820339053478011991155040836315570542780267391963756889925803095572455375212698199491900691056371408439770117326769284077353375244353527424447682160641963650405045847272705993302738661750189368858784381983622219291612333828367752383581011604730910153420101804969615547165908644364573518263604662887226074895115683426740776204145899114264654137116199931519991819398683955053151167917513425831581249232415960134932334264127815081,62181621965169917685540174931172410858509174962757244458342067544266314637364450460377760982261426094113970637519073072501089476360276877534099382419274090342140286584902167344596629761148864993107116155883695795136502636150825921155617126882468123512218953346190341174054159652408483926995263707761405492166520376072538654816850888596889601608216019602213309165373166770328049069376530114667001781963983530686156445702417997128614991019603798940219668243160982393996910386857725306624177440512080955351401902225432783968,3303107772738000183821840911949907945968502478664557261033505952220382838144147063070834321315952143586913775257054205605277459660993986049885791606438641656336101226689677568030185798316675556655801023521470658068257427592803531269681046645525682417438740415140796122452364717855179873974633591704919689381698856221153378766815506954444238458043602781680795794000810035740752259887132803333801676392991569593841275124209022423761877815319760583985315256260742839428655805459860657105758773811567726322934819212250851333115,1989811902885437365937285597797517147472293598808231822666946161416522068395662414732088351432365635011647060400610338320034863243528860081091180237416770890948489170716869355027092152356763679779427716988278265444368084356826429476979748060238979952391006507078090917569733108877071485663848438648364975749328652034321236954139228435100467251462912627270825893291941336650497570220048963669344057022847472981957006262477375908115679712627321566087029383781151436607901132379447209811973678096386590571244860871213849086976,520,520,460832154,541931544,542286266,286852754,491aafce07544de8221ecade4b9c93fd7df9a6817ab54820f32d00d23c6cfdec,522,521,182372226,453961645,407091917,323957083,e267344542c50eecbb52bb18632ba80684cefac21ace973c773c1efd417647d4,523,523,779088803,526772542,296913608,366626566,0a48941b978fb6b3d90dad3e82ae84c81dddb8aaf8d121a25067f7bc331e4ba2,1
3,1,1,3,7930784373299575946702550889925452342023824751155536019203271834315183461557154502854972909666768449094836659598001403855464085128187737702527630714357840479504342556843684307227428297665482689328539539437244998402964761426326518902582953999180134281932587842927936202627095857851617720851570896940684264625822141137757143978150849886951240436704784010887090150672971714344209446928556688399708231309108739097996907404606504473570610352489666674856127927272007187019219217796634112893548035552909256411550213245494391927,10417863365892342230038144491086477211896825124650428390926419693280220253380431490743918070326521649275639059689059362932119702845700838120896231609511889481405702464486226989670639541134888375808522078472661075624963792444117431816647895603345444776916264434963826793558812088361630814993970882975732857326328021122100717037378159346075744772057134174192805724041577678798416598010727558478241136245274727654225163677892020461338637238886500346005389443880374013653932630258885915245935487415636599849449533357140571136,144124879152884900249890663320042919920388927721375321038118786446257230570511461487582727885139820339053478011991155040836315570542780267391963756889925803095572455375212698199491900691056371408439770117326769284077353375244353527424447682160641963650405045847272705993302738661750189368858784381983622219291612333828367752383581011604730910153420101804969615547165908644364573518263604662887226074895115683426740776204145899114264654137116199931519991819398683955053151167917513425831581249232415960134932334264127815081,27636276428964407860240077747187738159337411094558775314818696686340584283273089093501227103227300486272875838897365810000484211715678612237377503297455151263173460704400963264265168782732828885825384958170531464505112282733700409402496500836652499338763979264973484966246293178848215078664561647893957996518453500476683846585267061598617600714762675378761470740165851897923577364167346717629778569761770458082736198089963554279384440453157243973430963663627103286220849060825655691832967751338702646822845289877970126208,8862211483707493812171940539067328836941452268468315735076727703776320559919408717060656581983714290634736614880144894803821080819596321351038613029632310291295887358658170567682978044901951547745912396415013593758603173585165088864166888901722815734980039023004399016816021874796354649875182434187150105245464059078330863671791020507132938607635633583878378100617407824954505288951625208243536005212408560039007926572418662381775068520546840060171918976887751872043156013490903851097206175154128281155109037337127773827775,1989811902885437365937285597797517147472293598808231822666946161416522068395662414732088351432365635011647060400610338320034863243528860081091180237416770890948489170716869355027092152356763679779427716988278265444368084356826429476979748060238979952391006507078090917569733108877071485663848438648364975749328652034321236954139228435100467251462912627270825893291941336650497570220048963669344057022847472981957006262477375908115679712627321566087029383781151436607901132379447209811973678096386590571244860871213849086976,520,521,54609419,625794625,536394141,860558262,e27e34e21d2452b30a1e46627f05a4cda31c9a09fd03131977ed809581e44ed3,522,521,182372226,312871843,407091917,366203150,dec412cef561b0853bf33a3214ba60d3b8c851cc6c2d8522d7553060dd5b8f48,523,523,700401229,526772542,859337759,366626566,007618c156cead9e13738fde301e0b69b442b37644c28d1a40f763db74c4de61,1
3,2,1,4,7930784373299575946702550889925452342023824751155536019203271834315183461557154502854972909666768449094836659598001403855464085128187737702527630714357840479504342556843684307227428297665482689328539539437244998402964761426326518902582953999180134281932587842927936202627095857851617720851570896940684264625822141137757143978150849886951240436704784010887090150672971714344209446928556688399708231309108739097996907404606504473570610352489666674856127927272007187019219217796634112893548035552909256411550213245494391927,10417863365892342230038144491086477211896825124650428390926419693280220253380431490743918070326521649275639059689059362932119702845700838120896231609511889481405702464486226989670639541134888375808522078472661075624963792444117431816647895603345444776916264434963826793558812088361630814993970882975732857326328021122100717037378159346075744772057134174192805724041577678798416598010727558478241136245274727654225163677892020461338637238886500346005389443880374013653932630258885915245935487415636599849449533357140571136,144124879152884900249890663320042919920388927721375321038118786446257230570511461487582727885139820339053478011991155040836315570542780267391963756889925803095572455375212698199491900691056371408439770117326769284077353375244353527424447682160641963650405045847272705993302738661750189368858784381983622219291612333828367752383581011604730910153420101804969615547165908644364573518263604662887226074895115683426740776204145899114264654137116199931519991819398683955053151167917513425831581249232415960134932334264127815081,15545405491292479421385043732793102714627293740689311114585516886066578659341112615094440245565356523528492659379768268125272369090069219383524845604818522585535071646225541836149157440287216248276779038970923948784125659037706480288904281720617030878054738336547585293513539913102120981748815926940351373041630094018134663704212722149222400402054004900553327291343291692582012267344132528666750445490995882671539111425604499282153747754900949735054917060790245598499227596714431326656044360128020238837850475556358195992,16933204716269048226165817684989732352483232220865333713211379744766725471868050560365289343551544229621731383551649577090654752769992016324988583415468155264647944859670081666854524483601108346618539522985312673666934962598848886399935959102718765699402721590451670552440975239854365254531274359578232949525794349772719457805271557156997869576227159284956676571258698709038921405974387069365220665406535038310905410039850832732173889152225347256337038518774078173526132478894284602943774725111143574922665248055918931472311,1989811902885437365937285597797517147472293598808231822666946161416522068395662414732088351432365635011647060400610338320034863243528860081091180237416770890948489170716869355027092152356763679779427716988278265444368084356826429476979748060238979952391006507078090917569733108877071485663848438648364975749328652034321236954139228435100467251462912627270825893291941336650497570220048963669344057022847472981957006262477375908115679712627321566087029383781151436607901132379447209811973678096386590571244860871213849086976,520,521,54609419,625794625,536394141,860558262,e27e34e21d2452b30a1e46627f05a4cda31c9a09fd03131977ed809581e44ed3,522,521,182372226,363490413,407091917,330989273,4d6525964b5fd691fe282d09e7cee717cc89bd7a900454273c016a4b4b838caa,524,523,913245815,526772542,656484904,366626566,2887191375b726dcc55de2135458b00b762f87b2780722e07caf21a442200ce8,1
4,0,1,2,33103433875963264689917032585065992643380228047192468044047273148292920888215737876936721332263391436913090436969622620270292022159495431146707611830046810422135578864741133988155709430539049462607536200747665194649045074645442100740084232615586830748933474297110063611445543502442214905823266737561932544249043315266762080852168905013042830966057012138734266052406191156618791974355139789680641543525496594040801369054665292107216934466883098255904653653668843475791020176631907890396190149180549225308990134458806089576176286126415743080688269114943281019554615958660092781648299974550503805437518244353041889523831297647617000106873009226517780530706144454603582176133312712468927379160752846175734967440200846174843300657254274206874060580271943933594398713634948404596724190803,51542413762490192047553927002601641096544046543351230847977690652355620103420000374133247656721070783816286594701359259190599857571026378717945475247325522985704906760456983158764359543245759819371826877041133530374067165406833344178726950112224749799026012182468221380581350833778546983815210385772746180672000705706061315037995290340149722790381519919502900490780330540742522040181161796138776785688747601586367316222415708187653002174037761465274792738770615939820557915203619610353177262790969356838022603503561036483229737569293094005195735878905436377822640839747835265682644654955822236219919810118591037002712761791572572430502813479790541359665308831947970378831120279417261710363516798734319994870173555779658046886544780754376052797340157131150516373718994305433288433664,4589999911230177230525786752581823243712689392574094134853551630373845625261795482411459026897174901299842276588020946152391610299306954942301659413994594606495289874376103608719992033721417728445677087579229165439451593554892505963745381752725098308576065542420582409694048593034809330216078658325825328155020777858648320482432622940659756811380879713069717569183027941949242701866170372668650355271136541156515228048099978752982847933292553946269195615827529590359794271819311474268684880781365376390893322304828642329839989826344308629071462508648530650721898797716455670481236870980939045405063065357242803637491476286467223524151050143384201902454838103936408766381482676300596525589334385014890460092195517257200767431373569520815886695296420887628772438345098407377490050961889,2187689117474583706907288901665980766542202864395574464880830869911094097722937793657655622763049893268646831019546581890089905065792452963361685727164261086726586042499396396294220593946653361222226429669968112066988184131712259719585966104763317158136437405966984507486897335389267216424156707485021004557411585508857269149390466767770799345102860067694456443053120696284849268816578200680556970237011287089554701644106977836409271870053602764414996758467819476556828124845309187906101523820683366034680514948706701770732639972385551323331641233971319632925360977864852563498974473132569343804001040829477975126115141667153413629828008305475554088821349774867124964968165327415265997039873713012945582004489588700869930434517789583130183574287104447122166361640072869408390686851072,28664487460453627963183774325741200003642957419139324420855906330716714848057747472713303693149958582797779942369792674428272940228835339782672627006873469877201817743053819295004447301026842661295014959527454384599129123479473671190996258915371715431092002700289197387674239719380357877920220031183769721492052454295931769456365084750955449873394138780630968490628086455714805782591869954359848127813489171485050929454017667191888762433283641982667182846746268105485978738900414454286819290045318583450005669380193854750460567136807963804820243775928442507027225883239945591741481248550158954968435618872323230939319730876815317676533961765928024959363795753769110506150418630542238471464601877894883383267602932076016766031290992940317089116003905406025891636497335375841461817770255,19689202057271253362165600114993826898879825779560170183927477829199846879506440142918900604867449039417821479175919237010809145592132076670255171544478349780539274382494567566647985345519880251000037867029713008602893657185410337476273694942869854423227936653702860567382076018503404947817410367365189041016704269579715422344514200909937194105925740609250107987478086266563643419349203806125012732133101583805992314796962800527683446830482424879734970826210375289011453123607782691154913714386150294312124634538360315936593759751469961909984771105741876696328248800783673071490770258193124094236009367465301776135036275004380722668452074749279986799392147973804124684713487946737393973358863417116510238040406298307829373910660106248171652168583940024099497254760655824675516181659648,782,782,444193931,252431616,840983681,975712080,ca598a0b65e0e3fd220ea2747621087817d1f86a1ff2a67ac549d0eebc744415,784,784,374074703,47652960,520041504,80223468,004f045ce19058a40e10694fda2a06b8110affb4132eb8e6359cd3e2e6a5a6bf,785,785,684591854,428876640,424610247,722011212,7f8c29ffbedc1110d13d464df0e1f7142cbf37c9dc5c2a067d66160863430396,1
