sample_count,mean_num,mean_den,mean_num_digits,mean_den_digits,mean_num_mod_1000000007,mean_den_mod_1000000007,mean_num_mod_1000000009,mean_den_mod_1000000009,mean_sha256,stationary_mean_num,stationary_mean_den,mean_matches_stationary_flag
1,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
2,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
3,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
4,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
5,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
6,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
7,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
8,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
9,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
10,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
11,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
12,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
13,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
14,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
15,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
16,1405,1146,4,4,1405,1146,1405,1146,fbb420650e184090e97df2def7192a648ca411c543c733d6c7fee26426f60516,1405,1146,1
