shell,support_size,total,certified,uncertified,max_N,max_amgm_ratio
12,0,1,1,0,0,0.0
12,1,24,24,0,0,0.0
12,2,276,276,0,0,0.0
12,3,2024,2024,0,0,0.0
12,4,10626,10626,0,0,0.0
12,5,42504,42504,0,0,0.0
12,6,134596,134596,0,0,0.0
12,7,346104,346104,0,0,0.0
12,8,735471,735471,0,0,0.0
12,9,1307504,1307504,0,0,0.0
12,10,1961256,1961256,0,0,0.0
12,11,2496144,2496144,0,0,0.0
12,12,2704156,2704156,0,1,0.0248447204968944
12,13,2496144,2496144,0,1,0.0248447204968944
12,14,1961256,1961256,0,1,0.0248447204968944
12,15,1307504,1307504,0,1,0.0248447204968944
12,16,735471,735471,0,2,0.0496894409937888
12,17,346104,346104,0,6,0.1490683229813664
12,18,134596,134596,0,18,0.4472049689440994
12,19,42504,0,42504,48,1.1925465838509317
12,20,10626,0,10626,120,2.981366459627329
12,21,2024,0,2024,280,6.956521739130435
12,22,276,0,276,616,15.304347826086955
12,23,24,0,24,1288,32.0
12,24,1,0,1,2576,64.0
16,0,1,1,0,0,0.0
16,1,24,24,0,0,0.0
16,2,276,276,0,0,0.0
16,3,2024,2024,0,0,0.0
16,4,10626,10626,0,0,0.0
16,5,42504,42504,0,0,0.0
16,6,134596,134596,0,0,0.0
16,7,346104,346104,0,0,0.0
16,8,735471,735471,0,0,0.0
16,9,1307504,1307504,0,0,0.0
16,10,1961256,1961256,0,0,0.0
16,11,2496144,2496144,0,0,0.0
16,12,2704156,2704156,0,0,0.0
16,13,2496144,2496144,0,0,0.0
16,14,1961256,1961256,0,0,0.0
16,15,1307504,1307504,0,0,0.0
16,16,735471,735471,0,1,0.0337666749011857
16,17,346104,346104,0,1,0.0337666749011857
16,18,134596,134596,0,1,0.0337666749011857
16,19,42504,42504,0,1,0.0337666749011857
16,20,10626,10626,0,5,0.1688333745059289
16,21,2024,2024,0,21,0.7091001729249016
16,22,276,0,276,77,2.600033967391305
16,23,24,0,24,253,8.542968750000004
16,24,1,0,1,759,25.62890625000001
