shell,blocks,threshold_edge_count,total_supports,amgm_certified_supports,amgm_uncertified_supports,uncertified_min_support,uncertified_max_support,max_amgm_ratio,elapsed_seconds
12,2576,40.25,16777216,16721761,55455,19,24,64.0,3.379387855529785
16,759,29.61499771376313,16777216,16776915,301,22,24,25.628906250000014,3.0469679832458496
