shell,support_size,uncertified_support_count,max_contained_blocks,max_amgm_ratio
12,19,42504,48,1.1925465838509317
12,20,10626,120,2.981366459627329
12,21,2024,280,6.956521739130435
12,22,276,616,15.304347826086955
12,23,24,1288,32.0
12,24,1,2576,64.0
16,22,276,77,2.600033967391305
16,23,24,253,8.542968750000004
16,24,1,759,25.62890625000001
