observable_id,observable_code,value_x1e12,aux_id
0,0,846000000000000,-1
1,1,2549000000000000,-1
2,2,5098000000000000,-1
3,3,562000000000000,-1
4,4,284000000000000,-1
5,5,13000000000000,-1
6,6,22000000000000,-1
7,7,787000000000000,-1
8,8,2501000000000000,-1
9,9,532000000000000,-1
10,10,255000000000000,-1
11,11,1694000000000000,-1
12,12,855000000000000,-1
13,13,766000000000000,-1
14,14,2000000000000,-1
15,15,0,-1
16,16,1000000000000,-1
17,17,1000000000000,-1
18,18,6000000000000,-1
19,19,6000000000000,-1
20,20,593000000000000,-1
21,21,194000000000000,-1
22,22,1918266000,-1
23,23,8295102000,-1
24,24,1918266000,-1
25,25,4464286000,-1
26,26,787000000000000,-1
27,27,850000000000,-1
28,28,3715469012000,-1
29,29,99585108000,-1
30,30,160588193000,-1
31,31,92061502000,-1
