transition_id,reverse_transition_id,undirected_edge_id,source_state_id,target_state_id,source_grammar_cell_id,target_grammar_cell_id,edit_kind_code,edit_position,source_symbol_id,target_symbol_id,native_transition_flag,derived_transition_flag,derived_only_transition_flag,boundary_path_edge_flag,spectral_cut_edge_flag
0,1,0,0,1,0,1,2,9,2,-1,0,1,1,0,0
1,0,0,1,0,1,0,1,9,-1,2,0,1,1,0,0
2,3,1,0,5,0,5,0,8,1,2,0,1,1,0,0
3,2,1,5,0,5,0,0,8,2,1,0,1,1,0,0
4,5,2,0,19,0,19,2,7,1,-1,0,1,1,0,0
5,4,2,19,0,19,0,1,7,-1,1,0,1,1,0,0
6,7,3,0,30,0,30,0,8,1,5,0,1,1,0,0
7,6,3,30,0,30,0,0,8,5,1,0,1,1,0,0
8,9,4,0,33,0,33,0,7,1,2,0,1,1,0,0
9,8,4,33,0,33,0,0,7,2,1,0,1,1,0,0
10,11,5,0,61,0,61,0,7,1,5,0,1,1,0,0
11,10,5,61,0,61,0,0,7,5,1,0,1,1,0,0
12,13,6,1,3,1,3,1,8,-1,2,0,1,1,0,0
13,12,6,3,1,3,1,2,8,2,-1,0,1,1,0,0
14,15,7,1,19,1,19,0,8,1,2,0,1,1,0,0
15,14,7,19,1,19,1,0,8,2,1,0,1,1,0,0
16,17,8,1,28,1,28,0,8,1,4,0,1,1,0,0
17,16,8,28,1,28,1,0,8,4,1,0,1,1,0,0
18,19,9,1,31,1,31,2,7,1,-1,0,1,1,0,0
19,18,9,31,1,31,1,1,7,-1,1,0,1,1,0,0
20,21,10,1,32,1,32,0,8,1,5,0,1,1,0,0
21,20,10,32,1,32,1,0,8,5,1,0,1,1,0,0
22,23,11,1,35,1,35,0,7,1,2,0,1,1,0,0
23,22,11,35,1,35,1,0,7,2,1,0,1,1,0,0
24,25,12,2,3,2,3,1,10,-1,5,0,1,1,0,0
25,24,12,3,2,3,2,2,10,5,-1,0,1,1,0,0
26,27,13,2,4,2,4,0,9,1,2,0,1,1,0,0
27,26,13,4,2,4,2,0,9,2,1,0,1,1,0,0
28,29,14,2,7,2,7,2,9,1,-1,0,1,1,0,0
29,28,14,7,2,7,2,1,9,-1,1,0,1,1,0,0
30,31,15,2,19,2,19,0,9,1,5,0,1,1,0,0
31,30,15,19,2,19,2,0,9,5,1,0,1,1,0,0
32,33,16,2,34,2,34,2,7,1,-1,0,1,1,0,0
33,32,16,34,2,34,2,1,7,-1,1,0,1,1,0,0
34,35,17,3,5,3,5,0,9,1,2,0,1,1,0,0
35,34,17,5,3,5,3,0,9,2,1,0,1,1,0,0
36,37,18,3,19,3,19,2,9,1,-1,0,1,1,0,0
37,36,18,19,3,19,3,1,9,-1,1,0,1,1,0,0
38,39,19,3,27,3,27,0,9,1,5,0,1,1,0,0
39,38,19,27,3,27,3,0,9,5,1,0,1,1,0,0
40,41,20,3,35,3,35,2,7,1,-1,0,1,1,0,0
41,40,20,35,3,35,3,1,7,-1,1,0,1,1,0,0
42,43,21,4,5,4,5,1,10,-1,5,0,1,1,0,0
43,42,21,5,4,5,4,2,10,5,-1,0,1,1,0,0
44,45,22,4,7,4,7,2,8,2,-1,0,1,1,0,0
45,44,22,7,4,7,4,1,8,-1,2,0,1,1,0,0
46,47,23,4,9,4,9,1,9,-1,5,0,1,1,0,0
47,46,23,9,4,9,4,2,9,5,-1,0,1,1,0,0
